word,series_frequency,english_frequency,vocabulary_level
happening,3,13986796,N/A
indecent,3,776640,N/A
terrestrial,2,3084858,N/A
unsimulated,2,0,N/A
intercourse,2,2815487,N/A
uploaded,2,8400243,N/A
twitter,2,30630,N/A
carlton,2,4995505,N/A
timeline,2,7972050,N/A
obit,2,1247573,N/A
ransom,2,1440562,N/A
humiliation,2,3772265,N/A
lying,2,8260845,N/A
postcode,2,4972620,N/A
rod,2,17351135,N/A
heading,2,14092627,C1
severed,2,798281,N/A
humiliating,2,622405,C2
advising,2,4070479,N/A
destroyed,2,9026486,N/A
advised,2,9436986,N/A
significance,2,9997058,C1
