word,series_frequency,english_frequency,vocabulary_level
range,1,137747915,B1
technical,1,102905930,B2
code,1,284748658,B2
care,1,230084008,B1
working,1,148966565,B1
via,1,97167128,B1
current,1,220295284,B2
reply,1,226506692,B1
standard,1,229356790,B2
update,1,149623860,B1
least,1,111229798,B1
style,1,124515883,B1
blog,1,192019688,B1
position,1,114461372,B1
director,1,134280802,B1
natural,1,112420500,B1
power,1,246570236,B1
local,1,274425438,B1
agent,1,106654961,B2
continue,1,100662818,B1
service,1,1081744026,B1
direct,1,104756414,B1
material,1,182430238,B1
development,1,302182177,B1
original,1,116352708,B1
interest,1,159511351,B1
select,1,172036031,B1
request,1,160860157,B1
safety,1,111147686,B2
law,1,261576660,B1
store,1,432519343,B1
death,1,94459595,B1
official,1,133589896,B2
let,1,158939263,B1
report,1,400753331,B1
performance,1,148983029,B1
central,1,113871303,B1
figure,1,114181526,B1
