word,series_frequency,english_frequency,vocabulary_level
flask,7,1714122,N/A
meth,6,2301319,N/A
sage,4,8363801,N/A
dude,4,7556738,N/A
veggie,3,1247371,N/A
mustard,3,2946136,C1
volumetric,3,659238,N/A
cholesterol,2,8620700,C1
molecule,2,10088633,N/A
custody,2,7459454,C2
methamphetamine,2,1214943,N/A
supposed,2,14497557,N/A
snitch,2,268188,N/A
beaner,2,39824,N/A
phosphine,2,95829,N/A
whiff,2,269168,N/A
millilitre,2,45379,N/A
skater,2,2361963,N/A
mommy,2,3288748,N/A
ese,2,1370092,N/A
punk,2,12867399,N/A
phosphorus,2,2201635,N/A
