word,series_frequency,english_frequency,vocabulary_level
gosh,1,1103443,N/A
hartwell,1,435658,N/A
negra,1,747854,N/A
arroyo,1,1442621,N/A
dicking,1,25137,N/A
billionth,1,87219,N/A
echinacea,1,734177,N/A
fake,1,11922383,C1
technically,1,3818321,C1
electron,1,11854516,N/A
compound,1,17968420,N/A
dissolution,1,2045414,N/A
transformation,1,14057283,C1
chad,1,9257625,N/A
ionic,1,1885583,N/A
lonic,1,0,N/A
talked,1,9582713,N/A
handed,1,8150012,N/A
washboard,1,102776,N/A
carmen,1,5230762,N/A
glock,1,682866,N/A
mil,1,6789936,N/A
windshield,1,2091784,N/A
calibre,1,772308,N/A
keith,1,14408440,N/A
apprehended,1,442188,N/A
professionalism,1,2081396,N/A
resulted,1,10647532,N/A
fired,1,8031937,N/A
ongoing,1,16983414,C2
organised,1,6011975,N/A
haul,1,2979364,C2
dent,1,4122573,N/A
faux,1,3141781,N/A
lalique,1,424853,N/A
picked,1,12114899,N/A
swap,1,9033550,C1
ish,1,1960395,N/A
alamos,1,1517447,N/A
rover,1,10035536,N/A
sooner,1,5301082,N/A
stepladder,1,83855,N/A
understood,1,11962620,N/A
inoperable,1,327514,N/A
scenario,1,9972760,C2
chemo,1,536433,N/A
mastercard,1,8687804,N/A
staple,1,5652972,N/A
shorthanded,1,101575,N/A
barn,1,7175453,C2
dumb,1,5409969,C1
exuberant,1,379017,N/A
mexican,1,16018332,N/A
dopey,1,169040,N/A
buck,1,12834605,N/A
respirator,1,1158566,N/A
latino,1,7827064,N/A
persuasion,1,1866214,C2
koyama,1,93315,N/A
sucker,1,2492626,N/A
gomey,1,0,N/A
peek,1,2769027,N/A
pinkman,1,0,N/A
filing,1,19572362,N/A
winder,1,1211169,N/A
kotter,1,88418,N/A
mosaic,1,4802281,N/A
minneapolis,1,12111079,N/A
critique,1,6155194,N/A
quieter,1,719364,N/A
kjeldahl,1,61022,N/A
paraphernalia,1,539519,N/A
griffin,1,5945749,N/A
beaker,1,555482,N/A
erlenmeyer,1,47190,N/A
mixing,1,7844777,N/A
titration,1,460093,N/A
flunked,1,79457,N/A
telling,1,14181895,N/A
garbage,1,6609450,N/A
chemically,1,1744343,N/A
advertised,1,4179189,N/A
adulterant,1,16340,N/A
fume,1,1606878,N/A
faggot,1,451557,N/A
rented,1,2865890,N/A
sniff,1,1174181,C2
winnebago,1,705410,N/A
boony,1,57421,N/A
evasive,1,403806,N/A
negotiate,1,5129611,C1
compute,1,6069234,N/A
shrunk,1,629377,N/A
skinny,1,3345336,N/A
pinched,1,398260,N/A
psycho,1,2345581,N/A
smelling,1,973663,N/A
homo,1,4058353,N/A
jibhead,1,0,N/A
happening,1,13986796,N/A
proceed,1,18977296,C1
meantime,1,3568612,N/A
kraze,1,31345,N/A
purebred,1,408367,N/A
nutsack,1,28203,N/A
finest,1,9668295,N/A
scante,1,0,N/A
laid,1,13359320,N/A
poochie,1,32962,N/A
booya,1,35704,N/A
vengeance,1,2266642,N/A
vato,1,26185,N/A
loco,1,1343167,N/A
broke,1,10460811,N/A
fed,1,13348332,N/A
sticking,1,2655955,N/A
dimed,1,64599,N/A
krazy,1,336112,N/A
bail,1,3888706,N/A
pendejo,1,0,N/A
nudist,1,8654168,N/A
busted,1,1704787,N/A
rata,1,793546,N/A
batch,1,8712684,N/A
moisture,1,7505832,N/A
accelerated,1,4336016,N/A
hydride,1,447711,N/A
