word,series_frequency,english_frequency,vocabulary_level
few,1,135197144,B1
energy,1,120637844,B1
solution,1,180104309,B1
professional,1,156233340,B1
register,1,169784604,B1
individual,1,140247382,B1
district,1,114432328,B1
operation,1,120999551,B1
local,1,274425438,B1
trade,1,117975699,B1
detail,1,326322175,B1
insurance,1,193804208,B2
least,1,111229798,B1
system,1,620530933,B1
step,1,124401569,B1
rate,1,344723717,B2
collection,1,131560281,B1
sex,1,322005449,B1
general,1,313944434,B1
product,1,813493987,B1
safety,1,111147686,B2
equipment,1,145824145,B1
brand,1,134504942,B2
mile,1,122191270,B1
living,1,107270041,B2
