word,series_frequency,english_frequency,vocabulary_level
figure,1,114181526,B1
deal,1,155018212,B2
period,1,124198539,B1
style,1,124515883,B1
press,1,182076415,B1
release,1,125340846,B2
allow,1,120405543,B1
private,1,188233446,B1
step,1,124401569,B1
compare,1,186642026,B1
category,1,340667095,B2
professional,1,156233340,B1
policy,1,472193707,B2
payment,1,177403310,B2
system,1,620530933,B1
control,1,245401760,B1
article,1,333500580,B1
live,1,166005029,B1
public,1,349615053,B1
cell,1,157195647,B2
