word,series_frequency,english_frequency,vocabulary_level
psychiatrist,1,2307177,C2
predator,1,6027516,C1
talked,1,9582713,N/A
lied,1,2215843,N/A
canine,1,2614088,N/A
realized,1,11186108,N/A
elaborate,1,3487542,C2
psychiatric,1,4981598,N/A
ensuing,1,1061138,N/A
scratched,1,973372,N/A
mitt,1,1298844,N/A
choking,1,971485,N/A
infinite,1,6795427,C2
coping,1,3105734,N/A
liking,1,1773447,N/A
liked,1,11282738,N/A
gotten,1,7480306,N/A
slutty,1,1083328,N/A
cis,1,4699878,N/A
spit,1,2391168,C2
belonged,1,1872474,N/A
memoir,1,5684577,N/A
imagined,1,2631487,N/A
fell,1,15337043,N/A
smiling,1,3931929,N/A
dying,1,9123557,N/A
gosh,1,1103443,N/A
rant,1,7245073,N/A
hashtag,1,0,N/A
activism,1,4047643,N/A
reaching,1,9832263,N/A
misread,1,257441,N/A
withdrawal,1,9482374,C2
bingo,1,9539002,N/A
booth,1,9307763,N/A
broke,1,10460811,N/A
distraction,1,2050162,C1
stingray,1,686664,N/A
freshmen,1,1817045,N/A
pushing,1,5952141,N/A
maintaining,1,13362778,N/A
putting,1,18519708,N/A
voted,1,10746027,N/A
carb,1,7522621,N/A
cheating,1,3615902,N/A
acting,1,18407646,N/A
apron,1,2473897,N/A
proceed,1,18977296,C1
jailbait,1,57206,N/A
shaking,1,3005624,N/A
screaming,1,3812764,N/A
meanest,1,202221,N/A
cute,1,17912721,N/A
cutlet,1,179859,N/A
hormone,1,11242882,N/A
slushie,1,0,N/A
hottest,1,8505915,N/A
congratulation,1,6940167,N/A
sup,1,4162610,N/A
embarrass,1,463427,C2
joking,1,1059257,N/A
overreacting,1,73326,N/A
pee,1,12979196,N/A
stoned,1,875046,N/A
sis,1,3530367,N/A
hittin,1,165050,N/A
funky,1,5587279,N/A
begging,1,1559218,N/A
pleading,1,1609676,N/A
hurting,1,1746307,N/A
dumb,1,5409969,C1
sitting,1,18868156,N/A
walked,1,10905602,N/A
riding,1,15435415,N/A
wider,1,8186703,N/A
knowingly,1,1734666,C2
obscene,1,1686451,C2
compiled,1,13067154,N/A
anonymously,1,1313723,N/A
harassed,1,643111,N/A
spat,1,716656,N/A
faggot,1,451557,N/A
