word,series_frequency,english_frequency,vocabulary_level
was,65,1483428678,N/A
are,25,2395433165,N/A
had,21,480345947,N/A
did,12,275450874,N/A
said,10,315595259,N/A
got,9,145268693,N/A
were,6,570712602,N/A
been,6,575087223,N/A
being,5,248842629,N/A
going,4,155862313,N/A
made,4,287369575,N/A
doe,3,321965419,N/A
having,3,109360096,N/A
alway,2,127836367,N/A
able,2,109641322,C2
getting,2,93506861,N/A
has,2,1046319984,N/A
become,2,147957513,N/A
looking,2,150610176,N/A
lot,2,150766298,N/A
