word,series_frequency,english_frequency,vocabulary_level
moaning,5,907347,B2
beeping,4,171157,B2
monk,4,5696165,B2
grunt,3,899946,B2
wished,3,3512525,B2
grunting,3,146936,B2
beep,3,1708820,B2
cop,3,9737327,B2
chanting,3,828312,B2
idiot,2,6496256,B2
screaming,2,3812764,B2
thudding,2,29019,B2
yell,2,2061850,B2
nothin,2,1038914,B2
awkward,2,2013836,B2
believing,2,3401919,B2
bigger,2,13236401,B2
barking,2,1650384,B2
motel,2,16841566,B2
vent,2,5623912,B2
banging,2,1531392,B2
ringing,2,2151327,B2
fell,2,15337043,B2
hated,2,3173792,B2
bowling,2,9997649,B2
airplane,2,7576283,B2
overhead,2,7744326,B2
