word,series_frequency,english_frequency,vocabulary_level
chillin,1,432201,N/A
loved,1,19719299,N/A
slushie,1,0,N/A
super,1,66861365,N/A
ferris,1,1680944,N/A
knowingly,1,1734666,C2
produced,1,39030637,N/A
distributed,1,28094905,N/A
pornography,1,3806856,N/A
coming,1,70099649,N/A
ruined,1,1877804,N/A
demanded,1,3531986,N/A
excellence,1,14355090,N/A
bitterness,1,800632,N/A
stealing,1,3046130,N/A
cultured,1,2862362,N/A
vigor,1,977544,N/A
giving,1,43506778,N/A
erect,1,2100703,N/A
bigness,1,50038,N/A
shred,1,1206307,N/A
malice,1,1078607,N/A
jeer,1,225768,N/A
darkly,1,506092,N/A
gaze,1,2119763,C2
grin,1,2484951,C2
unerring,1,87912,N/A
sinking,1,1852249,N/A
hated,1,3173792,N/A
kidding,1,2613375,N/A
poke,1,1769914,N/A
ultimately,1,10608757,C1
snap,1,9490577,C2
winning,1,33440237,N/A
recruited,1,2164551,N/A
began,1,38269468,N/A
smarter,1,2669654,N/A
earned,1,12540187,N/A
wisely,1,1647283,C1
preseason,1,853733,N/A
coordinator,1,18128397,N/A
wandering,1,2618011,N/A
math,1,31863783,N/A
dating,1,54292714,N/A
throwing,1,5200541,N/A
worn,1,7252925,N/A
hon,1,10955276,N/A
mom,1,39068727,N/A
sweetie,1,1231301,N/A
coolest,1,1798263,N/A
taller,1,1542678,N/A
tempo,1,3372997,N/A
expanding,1,9147487,N/A
collecting,1,9196546,N/A
worthless,1,1499925,C1
affectionately,1,370906,N/A
referred,1,28919199,N/A
piggy,1,1181697,N/A
weeeee,1,0,N/A
skinny,1,3345336,N/A
hoe,1,2448873,N/A
bankrupt,1,1411082,C1
incoming,1,7058840,N/A
cam,1,33820082,N/A
took,1,66297175,N/A
vicodin,1,4646185,N/A
drank,1,1777243,N/A
creepy,1,1697316,N/A
favor,1,18267074,N/A
expelled,1,1196114,N/A
held,1,76140043,N/A
likewise,1,5568135,C2
decided,1,33030803,N/A
driving,1,40033859,N/A
aimlessly,1,208998,N/A
motel,1,16841566,N/A
lit,1,7096253,N/A
attempted,1,7412242,N/A
extended,1,35651592,N/A
tend,1,18702666,N/A
standing,1,34637239,N/A
lawn,1,11523358,C1
wee,1,3319172,N/A
bey,1,410167,N/A
strip,1,24503131,C1
plier,1,1350380,N/A
blowtorch,1,57807,N/A
slump,1,1012498,N/A
rum,1,2393714,N/A
blunt,1,4439079,C2
vampire,1,7642946,N/A
slutty,1,1083328,N/A
mute,1,2504812,N/A
seamstress,1,262218,N/A
brutally,1,766671,N/A
gunpoint,1,211695,N/A
disappeared,1,3791611,N/A
hung,1,8543618,N/A
enjoyed,1,12819458,N/A
suck,1,30261732,C2
acting,1,18407646,N/A
happening,1,13986796,N/A
angle,1,21639451,C1
selling,1,44375770,N/A
springtime,1,729486,N/A
babe,1,49505821,N/A
sittin,1,315253,N/A
tender,1,11744243,C2
sane,1,1954283,C2
burnin,1,367843,N/A
worth,1,48099042,N/A
attached,1,23079894,N/A
thee,1,8613804,N/A
rash,1,2806152,C2
unadvised,1,0,N/A
thou,1,11669062,N/A
doth,1,1128975,N/A
ere,1,1293576,N/A
lighten,1,811953,N/A
bud,1,6247835,N/A
ripening,1,321833,N/A
beauteous,1,93571,N/A
registry,1,20746349,N/A
stingray,1,686664,N/A
dying,1,9123557,N/A
answering,1,6472783,N/A
sleeping,1,11840656,N/A
whine,1,967404,N/A
crying,1,4891725,N/A
kicked,1,3510100,N/A
toward,1,66823223,N/A
greatest,1,25547808,N/A
drafted,1,2369018,N/A
creep,1,2283961,C2
brace,1,4262152,N/A
dude,1,7556738,N/A
retina,1,1254145,N/A
detached,1,3730246,C1
migraine,1,2756667,N/A
clothe,1,27345816,N/A
ran,1,16417708,N/A
stalking,1,1084461,N/A
confronted,1,1982279,N/A
ignoring,1,3208542,N/A
became,1,37332761,N/A
enraged,1,422721,N/A
choked,1,575811,N/A
intoxicated,1,794218,N/A
named,1,34099544,N/A
witnessed,1,3002335,N/A
assault,1,11007120,C2
yelling,1,1395556,N/A
stopped,1,14956865,N/A
recognized,1,19142613,N/A
hooked,1,3261622,N/A
coerce,1,371517,N/A
filing,1,19572362,N/A
impeding,1,256703,N/A
punishable,1,888057,N/A
telling,1,14181895,N/A
goddess,1,5502442,N/A
fairy,1,8468245,N/A
immature,1,1300935,C2
robin,1,12594935,N/A
pompous,1,315897,N/A
pomeranian,1,411670,N/A
stray,1,2073705,N/A
shoo,1,241831,N/A
lay,1,17973216,N/A
suffocating,1,191135,N/A
loop,1,26611843,N/A
