word,series_frequency,english_frequency,vocabulary_level
taking,1,70312688,N/A
aspirant,1,262421,N/A
supposed,1,14497557,N/A
locked,1,10837051,N/A
core,1,53228216,C2
sideline,1,1421206,N/A
listening,1,19542217,N/A
filly,1,670459,N/A
wearing,1,12401524,N/A
fallen,1,7714660,N/A
misfortune,1,990636,C1
lied,1,2215843,N/A
artifact,1,4988841,N/A
doing,1,81188350,N/A
sake,1,6673422,N/A
squire,1,1561278,N/A
coveted,1,844165,N/A
armor,1,6094107,N/A
ruled,1,5589851,N/A
taken,1,87019836,N/A
seem,1,92129504,N/A
relic,1,1851162,N/A
bungled,1,109369,N/A
willing,1,18418634,C2
buddy,1,28145735,N/A
transmitter,1,6187124,N/A
activated,1,7010205,N/A
transmit,1,6261827,C1
heading,1,14092627,C1
roping,1,361600,N/A
biggest,1,20195396,N/A
obstacle,1,6121532,C1
brevity,1,466461,N/A
lifespan,1,953103,C2
prevented,1,4140686,N/A
millennia,1,584676,N/A
nifty,1,1981740,N/A
getting,1,93506861,N/A
cabana,1,573027,N/A
went,1,68130142,N/A
tried,1,34201786,N/A
grenade,1,1878458,N/A
raised,1,24397948,N/A
civil,1,49560766,C1
asked,1,75532722,N/A
born,1,52510893,N/A
dna,1,26290902,C2
initiate,1,5530509,C2
protocol,1,41618828,N/A
inject,1,1351546,N/A
guarded,1,1257448,N/A
vertical,1,16461752,C1
integration,1,32841770,C1
called,1,106978150,N/A
accomplished,1,7928651,N/A
bearing,1,13934717,N/A
collaboration,1,19240015,C1
minded,1,4968607,N/A
behalf,1,21247820,N/A
snuff,1,883367,N/A
casino,1,74796251,N/A
rumor,1,5977664,N/A
negotiation,1,14354240,C1
collaborate,1,2875330,C1
mass,1,45284489,C1
apex,1,3531292,N/A
predator,1,6027516,C1
capitalism,1,3640757,C2
outfighting,1,0,N/A
outliving,1,18535,N/A
outlive,1,116672,N/A
confine,1,1401494,C2
nest,1,6735749,C2
eating,1,21565444,N/A
addressed,1,16180738,N/A
fundamental,1,21133384,C2
shortsighted,1,126215,N/A
refocus,1,274187,N/A
invited,1,14757576,N/A
followed,1,31437587,N/A
resolution,1,62845162,C2
outsourced,1,1433830,N/A
sector,1,61695429,C1
insane,1,4121922,C1
failed,1,30596963,N/A
kept,1,27838368,N/A
trained,1,13608102,N/A
supervised,1,3141620,N/A
interconnected,1,1052701,N/A
controlled,1,23265403,N/A
downright,1,908731,N/A
questionable,1,2492735,C2
breeding,1,7138425,N/A
genetically,1,2902834,N/A
selected,1,58668257,N/A
positivity,1,296670,N/A
inherit,1,2022122,C2
intentionally,1,2476029,N/A
overcrowd,1,13380,N/A
governed,1,4887138,N/A
mutant,1,6512797,N/A
psychotropic,1,412797,N/A
smartest,1,693861,N/A
adulthood,1,1187666,N/A
earning,1,24553109,N/A
talking,1,36617848,N/A
hypothetical,1,5573383,N/A
dropping,1,5094616,N/A
ourself,1,13702364,N/A
greatest,1,25547808,N/A
monopoly,1,4376904,C2
obsolete,1,3962326,C1
societal,1,1797259,N/A
configuration,1,42646143,N/A
intentional,1,2206039,N/A
friction,1,3112705,C1
wondering,1,9239585,N/A
loving,1,10172381,N/A
sending,1,20622624,N/A
meant,1,17832930,N/A
met,1,45111009,N/A
goe,1,47478275,N/A
maggot,1,512197,N/A
discovered,1,16046554,N/A
siphoning,1,97390,N/A
deduced,1,671465,N/A
returned,1,34138333,N/A
realized,1,11186108,N/A
hiding,1,4565153,N/A
ran,1,16417708,N/A
burned,1,4993504,N/A
limitless,1,692234,N/A
invaded,1,1403322,N/A
proprietary,1,8104058,N/A
trusted,1,14554254,N/A
minion,1,919743,N/A
activate,1,5974053,N/A
pod,1,6715005,N/A
starve,1,540312,C1
occasional,1,6424555,C1
barricade,1,787323,N/A
loved,1,19719299,N/A
stopped,1,14956865,N/A
seen,1,78381896,N/A
forced,1,30835043,N/A
rid,1,7964412,N/A
gone,1,34511028,N/A
outfit,1,5973389,N/A
flaw,1,5144302,C1
welding,1,5471850,N/A
ghoul,1,477341,N/A
cleaning,1,29304405,N/A
waited,1,3938627,N/A
headed,1,10058504,N/A
easier,1,26857423,N/A
suppose,1,11981451,C1
shalt,1,1854326,N/A
hereafter,1,1716113,N/A
silvery,1,498555,N/A
eternity,1,3329786,N/A
