word,series_frequency,english_frequency,vocabulary_level
press,1,182076415,B1
personal,1,239216761,B1
district,1,114432328,B1
few,1,135197144,B1
general,1,313944434,B1
industry,1,192166822,B1
policy,1,472193707,B2
united,1,299280163,B2
security,1,252411152,B1
current,1,220295284,B2
supply,1,150845529,B2
following,1,221359876,B2
access,1,219843297,B1
allow,1,120405543,B1
design,1,297404017,B1
condition,1,244920039,B1
owner,1,118769765,B1
live,1,166005029,B1
system,1,620530933,B1
least,1,111229798,B1
facility,1,114644770,B2
deal,1,155018212,B2
thought,1,119724175,B1
