word,series_frequency,english_frequency,vocabulary_level
missile,10,8108695,C2
aurora,10,7000546,N/A
ascend,6,954419,N/A
savior,6,1822993,N/A
nuke,4,8647289,N/A
harvester,4,1100386,N/A
amend,3,9263001,C2
rookie,3,3870767,N/A
dui,3,5793574,N/A
counterfeit,3,1158448,N/A
visitation,3,2503463,N/A
murmuring,3,182572,N/A
wailing,3,449707,N/A
courthouse,3,2347505,N/A
felony,2,3200085,N/A
flop,2,3644646,N/A
bailiff,2,421871,N/A
homicide,2,2104421,N/A
counseling,2,14592664,N/A
indistinct,2,195751,N/A
indistinctly,2,28943,N/A
cuff,2,4034434,N/A
fallout,2,1292211,N/A
cockroach,2,669617,N/A
prophet,2,7703296,N/A
custody,2,7459454,C2
solitary,2,1632552,C2
