word,series_frequency,english_frequency,vocabulary_level
was,36,1483428678,N/A
are,32,2395433165,N/A
got,21,145268693,N/A
children,14,214638176,N/A
did,11,275450874,N/A
doe,11,321965419,N/A
had,9,480345947,N/A
going,8,155862313,N/A
been,5,575087223,N/A
said,5,315595259,N/A
has,5,1046319984,N/A
lot,4,150766298,N/A
alway,3,127836367,N/A
were,3,570712602,N/A
being,3,248842629,N/A
making,3,124399532,N/A
getting,2,93506861,N/A
based,2,252405204,N/A
able,2,109641322,C2
given,2,126028149,N/A
having,2,109360096,N/A
done,2,102841314,N/A
made,2,287369575,N/A
seem,2,92129504,N/A
