word,series_frequency,english_frequency,vocabulary_level
ascend,6,954419,B2
honking,5,141742,B2
horn,4,10468945,B2
nuke,4,8647289,B2
revenge,4,6655322,B2
rookie,3,3870767,B2
screw,3,12194010,B2
murmuring,3,182572,B2
courthouse,3,2347505,B2
hooked,2,3261622,B2
felony,2,3200085,B2
anxiety,2,9978147,B2
flop,2,3644646,B2
counseling,2,14592664,B2
happening,2,13986796,B2
indistinct,2,195751,B2
panicking,2,141459,B2
gotten,2,7480306,B2
whispering,2,1061994,B2
drill,2,11117093,B2
cuff,2,4034434,B2
cockroach,2,669617,B2
alien,2,15123516,B2
