word,series_frequency,english_frequency,vocabulary_level
marrying,1,883879,N/A
invincible,1,730133,N/A
begged,1,886076,N/A
negotiate,1,5129611,C1
ignored,1,7715815,N/A
burnt,1,3221640,N/A
overrun,1,1128470,N/A
reinforcement,1,2614828,N/A
caught,1,17749748,N/A
spurned,1,139546,N/A
supposed,1,14497557,N/A
eldest,1,1064349,N/A
merry,1,6367037,N/A
youngest,1,3111198,N/A
bled,1,620251,N/A
pledged,1,1818974,N/A
vow,1,2874235,C2
loved,1,19719299,N/A
pledge,1,7590931,N/A
amend,1,9263001,C2
honorable,1,3346100,N/A
prettier,1,320352,N/A
shapely,1,233421,N/A
ale,1,4184997,N/A
sneak,1,2496589,N/A
breached,1,752367,N/A
slaughter,1,2982546,C2
slaughtered,1,812883,N/A
unsullied,1,41477,N/A
reign,1,4254700,C1
sally,1,5994315,N/A
staring,1,2611893,N/A
wizard,1,15920902,N/A
lived,1,18050710,N/A
cracked,1,2888206,N/A
spoke,1,12161949,N/A
squeak,1,992066,C2
sustenance,1,382867,N/A
taught,1,16082512,N/A
raid,1,9429798,C2
stealing,1,3046130,N/A
carve,1,952422,C2
coughing,1,878491,N/A
barn,1,7175453,C2
hog,1,3182765,N/A
pressed,1,5362732,N/A
mutton,1,389582,N/A
snipped,1,168232,N/A
rowed,1,168567,N/A
manned,1,1084146,N/A
fortress,1,2885361,N/A
sealed,1,13733878,N/A
deserted,1,1525106,C1
hush,1,1714301,N/A
dying,1,9123557,N/A
riding,1,15435415,N/A
dignity,1,4122174,C2
guarding,1,1005862,N/A
whistler,1,3317100,N/A
hereby,1,7556876,N/A
eternity,1,3329786,N/A
maiden,1,5631487,N/A
crone,1,253992,N/A
heading,1,14092627,C1
heir,1,2837503,C2
threw,1,4410853,N/A
surrendered,1,1037373,N/A
complained,1,2691906,N/A
sens,1,4305427,N/A
dowry,1,296715,N/A
harp,1,2850934,N/A
sitting,1,18868156,N/A
blackberry,1,7043209,N/A
treason,1,1155400,N/A
prayed,1,1490059,N/A
wrapped,1,5852802,N/A
sheath,1,1439713,N/A
sire,1,1894165,N/A
caging,1,94303,N/A
endured,1,1099349,N/A
forbade,1,253563,N/A
consummated,1,205283,N/A
naming,1,4643682,N/A
remiss,1,157475,N/A
vengeance,1,2266642,N/A
hostage,1,3239957,C2
