word,series_frequency,english_frequency,filter_reason,vocabulary_level
lord,17,52474647,Oxford 3000,N/A
castle,16,20908984,Oxford 3000,A2
bed,11,82564175,Oxford 3000,A1
daughter,8,33796898,Oxford 3000,A1
kill,8,31335290,Oxford 3000,A2
father,7,54388623,Oxford 3000,A1
hear,6,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
wedding,6,72287352,Oxford 3000,B1
granddaughter,6,967129,Vocabulary level below C (A2),A2
lady,6,58395651,Oxford 3000,B1
army,5,46902606,Oxford 3000,C2
enough,5,83592616,Oxford 3000,A2
gate,5,28235760,Oxford 3000,A2
die,4,54277728,Oxford 3000,A1
son,4,71254769,Oxford 3000,A1
mother,4,66782465,Oxford 3000,A1
queen,4,39224762,Oxford 3000,A2
guard,4,27127471,Oxford 3000,B1
matter,4,96529766,Easy word (easy_words.csv),A2
happen,4,47239250,Oxford 3000,A2
seem,4,92129504,Oxford 3000,N/A
protect,4,42331974,Oxford 3000,B1
afraid,4,10858793,Oxford 3000,A2
quiet,4,16784967,Oxford 3000,A2
talking,3,36617848,"High English frequency (36,617,848 > 20,000,000)",N/A
kind,3,104902454,Oxford 3000,A1
twin,3,27964798,Oxford 3000,B1
brother,3,56375413,Oxford 3000,A1
wanted,3,63301836,"High English frequency (63,301,836 > 20,000,000)",N/A
gone,3,34511028,"High English frequency (34,511,028 > 20,000,000)",N/A
beg,3,3327817,Oxford 3000,B2
marry,3,4986925,Oxford 3000,B1
eye,3,100663991,Oxford 3000,A1
face,3,97858832,Oxford 3000,A1
hide,3,28857707,Oxford 3000,B1
dress,3,35921173,Oxford 3000,A1
inside,3,74360351,Oxford 3000,A1
lead,3,98832739,Oxford 3000,B1
mind,3,84923564,Oxford 3000,B1
leave,3,70957750,Oxford 3000,A1
eight,3,32784155,Oxford 3000,A1
killing,3,13478027,Oxford 3000,B1
turn,3,97589879,Oxford 3000,A2
drink,3,40392266,Oxford 3000,A1
blood,3,61544877,Oxford 3000,A2
coming,3,70099649,"High English frequency (70,099,649 > 20,000,000)",N/A
hope,3,83608473,Oxford 3000,A2
move,3,70113140,Oxford 3000,A2
fear,3,34286384,Oxford 3000,B1
saw,3,50570151,"High English frequency (50,570,151 > 20,000,000)",N/A
heard,3,45436523,"High English frequency (45,436,523 > 20,000,000)",N/A
past,3,105792512,Oxford 3000,A1
uncle,3,8649726,Oxford 3000,A2
seal,3,21232051,"High English frequency (21,232,051 > 20,000,000)",B2
told,3,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
bride,3,11698410,Oxford 3000,B1
safe,3,64247128,Oxford 3000,A1
feast,3,4656260,Easy word (easy_words.csv),C1
beyond,2,47315243,Oxford 3000,B2
fight,2,34268222,Oxford 3000,B1
attack,2,55851080,Oxford 3000,B1
whatever,2,31901912,Oxford 3000,B1
taking,2,70312688,"High English frequency (70,312,688 > 20,000,000)",N/A
rain,2,28603523,Oxford 3000,A1
slight,2,7721712,Oxford 3000,B2
getting,2,93506861,"High English frequency (93,506,861 > 20,000,000)",N/A
stay,2,86241601,Oxford 3000,A1
corrected,2,6122004,Easy word (easy_words.csv),N/A
elderman,2,0,Easy word (easy_words.csv),N/A
dangerous,2,16909821,Oxford 3000,A2
advice,2,71628494,Oxford 3000,A2
asking,2,19887691,Easy word (easy_words.csv),N/A
lose,2,24136984,Oxford 3000,A2
worse,2,15677739,Easy word (easy_words.csv),A2
feel,2,104136684,Oxford 3000,A1
protection,2,90095749,Oxford 3000,B2
seven,2,44648436,Oxford 3000,A1
fine,2,75242969,Oxford 3000,A1
cannot,2,88737,Oxford 3000,A1
wrong,2,49934294,Oxford 3000,A1
done,2,102841314,"High English frequency (102,841,314 > 20,000,000)",N/A
pretty,2,51699969,Oxford 3000,A2
everything,2,91495139,Oxford 3000,A2
oath,2,3167348,Easy word (easy_words.csv),N/A
rest,2,55957144,Oxford 3000,A2
ready,2,62997942,"High English frequency (62,997,942 > 20,000,000)",A1
wine,2,67431307,Oxford 3000,A1
behind,2,53892722,Oxford 3000,A1
perhap,2,42450144,Oxford 3000,N/A
cause,2,65904680,Oxford 3000,B2
itself,2,51076716,Oxford 3000,A2
ever,2,100646034,Oxford 3000,A2
looked,2,31988351,"High English frequency (31,988,351 > 20,000,000)",N/A
upon,2,103921220,Oxford 3000,B2
salt,2,27465291,Oxford 3000,A1
dead,2,48412882,Oxford 3000,A2
anyone,2,74326492,Oxford 3000,A2
someday,2,3127732,Easy word (easy_words.csv),N/A
skull,2,5445452,Easy word (easy_words.csv),C2
horse,2,58453720,Oxford 3000,A1
believe,2,75918053,Oxford 3000,A2
worry,2,16187062,Oxford 3000,A2
fire,2,90252608,Oxford 3000,A2
feet,2,57226055,"High English frequency (57,226,055 > 20,000,000)",N/A
bay,2,81093638,"High English frequency (81,093,638 > 20,000,000)",B1
climb,2,6761765,Oxford 3000,A2
ice,2,42343402,Oxford 3000,A2
yield,2,20685808,"High English frequency (20,685,808 > 20,000,000)",C2
calm,2,8109866,Oxford 3000,B1
nothing,2,73363579,Oxford 3000,A2
bring,2,74972410,Oxford 3000,A2
cut,2,74169573,Oxford 3000,A2
throat,2,14989306,Oxford 3000,B1
wife,2,47510357,Oxford 3000,A1
mine,2,34337711,Oxford 3000,A2
soldier,2,26207707,Oxford 3000,B1
teach,2,24679160,Oxford 3000,A1
walk,2,46873435,Oxford 3000,A1
late,2,65998289,Oxford 3000,A1
marriage,2,34309140,Oxford 3000,B1
ride,2,32614205,Oxford 3000,A1
fool,2,10735163,Easy word (easy_words.csv),B1
rescue,2,15622536,Oxford 3000,B1
strange,2,18322738,Vocabulary level below C (A2),A2
proof,2,28481969,Oxford 3000,B2
swear,2,3406203,Oxford 3000,B2
swore,2,663914,Easy word (easy_words.csv),N/A
honor,2,24511949,"High English frequency (24,511,949 > 20,000,000)",N/A
vision,1,47765922,Oxford 3000,B2
magic,1,36764626,Oxford 3000,A2
till,1,16477131,Oxford 3000,A2
snow,1,35709742,Oxford 3000,A1
win,1,79848750,Oxford 3000,A2
discipline,1,17598564,Oxford 3000,B2
together,1,94482864,Oxford 3000,A1
kingdom,1,83204500,"High English frequency (83,204,500 > 20,000,000)",B2
require,1,102164234,Oxford 3000,B1
wed,1,67188466,"High English frequency (67,188,466 > 20,000,000)",N/A
sent,1,68953120,"High English frequency (68,953,120 > 20,000,000)",N/A
captain,1,18971908,Oxford 3000,B1
heart,1,103511284,Oxford 3000,A2
fork,1,11432484,Oxford 3000,A2
delay,1,31212860,Oxford 3000,A2
throne,1,4208809,Easy word (easy_words.csv),C2
realize,1,14098493,Oxford 3000,B1
ground,1,73622412,Oxford 3000,B1
arrive,1,11812688,Oxford 3000,A2
sea,1,61532852,Oxford 3000,A1
died,1,35803272,"High English frequency (35,803,272 > 20,000,000)",N/A
honored,1,4559668,Easy word (easy_words.csv),N/A
guest,1,79375729,Oxford 3000,A2
extend,1,23001348,Oxford 3000,B2
none,1,85548408,Oxford 3000,B1
either,1,99143011,Oxford 3000,B1
though,1,91929439,Easy word (easy_words.csv),B1
clearly,1,32338676,Oxford 3000,A2
fault,1,16246310,Oxford 3000,B2
lucky,1,14053901,Oxford 3000,A2
brought,1,39794764,"High English frequency (39,794,764 > 20,000,000)",N/A
bet,1,19562562,Oxford 3000,C1
drop,1,45620690,Oxford 3000,B1
inch,1,63696489,Oxford 3000,B1
firm,1,69741666,Oxford 3000,B1
tit,1,48550960,"High English frequency (48,550,960 > 20,000,000)",N/A
tight,1,20005001,Oxford 3000,B1
fit,1,55284806,Oxford 3000,A2
respect,1,52180416,Oxford 3000,B1
broken,1,31399439,Oxford 3000,A2
tent,1,10392854,Oxford 3000,B1
outside,1,67458757,Oxford 3000,A1
flow,1,57481417,Oxford 3000,B1
loud,1,8706021,Oxford 3000,A2
mess,1,7335889,Oxford 3000,B1
front,1,102871721,Oxford 3000,B1
fall,1,98714623,Oxford 3000,A2
grey,1,18587863,Oxford 3000,A1
cutting,1,20740089,"High English frequency (20,740,089 > 20,000,000)",N/A
master,1,77138444,Oxford 3000,B2
