word,series_frequency,english_frequency,vocabulary_level
beloved,5,4781714,N/A
screaming,4,3812764,N/A
commander,4,11832701,C2
struck,4,8489716,N/A
fought,4,5535215,N/A
holdfast,4,45584,N/A
moaning,3,907347,N/A
promised,3,7162874,N/A
murmuring,3,182572,N/A
traitor,3,1109468,N/A
peasant,3,2549715,C1
disappeared,3,3791611,N/A
crow,3,5886842,N/A
wif,3,6613996,N/A
foul,3,6099385,C1
southerner,3,395337,N/A
snarling,3,163980,N/A
negotiate,3,5129611,C1
conqueror,3,825180,N/A
prominent,3,6441825,C1
trueborn,2,0,N/A
crown,2,18024012,N/A
steward,2,2273590,N/A
shouting,2,1610846,N/A
stead,2,724786,N/A
cheering,2,906545,N/A
meant,2,17832930,N/A
superstition,2,1214620,N/A
hound,2,3230248,N/A
knight,2,18888233,N/A
squawking,2,52957,N/A
declared,2,11707935,N/A
slept,2,2370802,N/A
howling,2,770604,N/A
vow,2,2874235,C2
comet,2,4060517,N/A
whinny,2,21343,N/A
sledge,2,680234,N/A
messing,2,1190210,N/A
aye,2,8638435,N/A
chose,2,9409845,N/A
warrior,2,14266719,C1
bannermen,2,0,N/A
stink,2,1403162,N/A
honorable,2,3346100,N/A
regent,2,6134139,N/A
mothered,2,16357,N/A
grew,2,10698645,N/A
establishment,2,19411379,C1
crying,2,4891725,N/A
