word,series_frequency,english_frequency,vocabulary_level
manned,1,1084146,N/A
tracked,1,11801246,N/A
clang,1,231706,N/A
succession,1,3091604,N/A
summoned,1,1031641,N/A
fealty,1,106355,N/A
kissed,1,2254272,N/A
treason,1,1155400,N/A
unpunished,1,228819,N/A
orphan,1,3020897,C2
sobbing,1,346430,N/A
hiss,1,558234,N/A
screech,1,310198,N/A
yelling,1,1395556,N/A
applause,1,1705835,C1
herald,1,12364307,N/A
freerider,1,24768,N/A
deepest,1,1939355,N/A
gurgling,1,111054,N/A
sow,1,1563546,C1
reap,1,1940421,N/A
pouring,1,1701428,N/A
gagging,1,708679,N/A
mercy,1,7059578,C2
battlefield,1,7530947,N/A
ruling,1,9823490,C2
bigger,1,13236401,N/A
confessed,1,948695,N/A
sympathize,1,310322,C2
arrived,1,15056872,N/A
citadel,1,1629215,N/A
conclave,1,249888,N/A
longest,1,5727593,N/A
fewer,1,10792786,N/A
drowning,1,1918497,N/A
fleeing,1,902311,N/A
whistling,1,615829,N/A
ravishing,1,159418,N/A
thankful,1,2083939,C1
tricked,1,633300,N/A
tricking,1,206514,N/A
emperor,1,6261377,C1
risen,1,2619862,N/A
losing,1,12607223,N/A
warfare,1,5044170,N/A
redeeming,1,507693,N/A
cheekbone,1,120930,N/A
puff,1,2398749,N/A
chopped,1,3804704,N/A
cawing,1,15415,N/A
mortared,1,17540,N/A
liege,1,598284,N/A
listening,1,19542217,N/A
flapping,1,328008,N/A
stableboy,1,0,N/A
shriek,1,360478,N/A
ate,1,6205908,N/A
farther,1,2666579,N/A
rumbling,1,432935,N/A
caw,1,413385,N/A
blister,1,1620291,C2
fell,1,15337043,N/A
missed,1,18451052,N/A
scum,1,979574,N/A
prettier,1,320352,N/A
barrel,1,9227978,N/A
broke,1,10460811,N/A
betrayed,1,1200949,N/A
axe,1,4862118,N/A
forged,1,2458824,N/A
gathering,1,12907959,C1
marching,1,2400087,N/A
rising,1,14108530,N/A
sunk,1,1217793,N/A
wanting,1,7463610,N/A
riding,1,15435415,N/A
staring,1,2611893,N/A
gouge,1,337347,N/A
grunt,1,899946,N/A
panting,1,340695,N/A
seas,1,5254799,N/A
spit,1,2391168,C2
await,1,3202456,N/A
coronation,1,1033026,N/A
telling,1,14181895,N/A
surrounded,1,6101488,N/A
fanatic,1,2619104,C2
heir,1,2837503,C2
arbor,1,5391721,N/A
ignorance,1,3782654,C2
mace,1,1348126,N/A
fleet,1,11200862,C1
thud,1,415228,N/A
chatter,1,2012283,N/A
expecting,1,4908583,N/A
safekeeping,1,220940,N/A
grown,1,13931521,N/A
destroyed,1,9026486,N/A
stem,1,14112298,N/A
insulted,1,528901,N/A
captive,1,2342128,N/A
rightful,1,707949,N/A
executed,1,8879901,N/A
fathered,1,146533,N/A
pushed,1,6482839,N/A
sniff,1,1174181,C2
rum,1,2393714,N/A
crushed,1,2840208,N/A
favor,1,18267074,N/A
youngest,1,3111198,N/A
escaped,1,2878893,N/A
trusting,1,1189507,N/A
eunuch,1,266710,N/A
mockingbird,1,799440,N/A
sigil,1,151147,N/A
loved,1,19719299,N/A
eldest,1,1064349,N/A
crypt,1,1999874,N/A
renounce,1,537642,N/A
dominion,1,3342999,N/A
disregard,1,2000157,N/A
beheading,1,307184,N/A
daybreak,1,594037,N/A
gotten,1,7480306,N/A
yoke,1,1204999,N/A
avenge,1,380123,N/A
sewer,1,5855245,N/A
rally,1,10456709,C2
trustworthy,1,1245589,C1
rebellion,1,2636278,C1
rebelling,1,108010,N/A
forgotten,1,14214206,N/A
rallied,1,594035,N/A
outnumber,1,285807,C1
sue,1,12356670,C1
hammering,1,516690,N/A
returning,1,12197026,N/A
vine,1,5598269,C1
ditch,1,2979485,N/A
stupidity,1,1581372,C2
weaken,1,1412774,C1
punishable,1,888057,N/A
daisy,1,5952259,N/A
bawdy,1,160667,N/A
hayseed,1,125188,N/A
haystack,1,375288,N/A
cater,1,2871698,C1
ploughmen,1,0,N/A
herder,1,511346,N/A
olsen,1,2867685,N/A
flea,1,2796116,N/A
dumb,1,5409969,C1
armor,1,6094107,N/A
rattling,1,423381,N/A
snap,1,9490577,C2
patron,1,5378838,N/A
whispering,1,1061994,N/A
whimpering,1,101664,N/A
squelch,1,229096,N/A
grunting,1,146936,N/A
heading,1,14092627,C1
