word,series_frequency,english_frequency,vocabulary_level
are,37,2395433165,N/A
men,20,196195250,N/A
was,14,1483428678,N/A
has,13,1046319984,N/A
did,13,275450874,N/A
were,9,570712602,N/A
had,8,480345947,N/A
been,8,575087223,N/A
done,6,102841314,N/A
doe,6,321965419,N/A
children,5,214638176,N/A
doing,5,81188350,N/A
seen,5,78381896,N/A
going,4,155862313,N/A
women,4,261450772,N/A
got,4,145268693,N/A
being,4,248842629,N/A
said,3,315595259,N/A
having,3,109360096,N/A
called,3,106978150,N/A
made,3,287369575,N/A
seem,3,92129504,N/A
looking,2,150610176,N/A
used,2,421438139,N/A
