word,series_frequency,english_frequency,vocabulary_level
sword,6,11815118,B2
smelled,5,666832,B2
fought,4,5535215,B2
wolf,3,16362886,B2
maiden,3,5631487,B2
pod,3,6715005,B2
funeral,2,13847723,B2
blunder,2,763977,B2
patience,2,4839393,B2
absence,2,15758790,B2
beating,2,5235058,B2
bow,2,11433612,B2
staying,2,8900981,B2
godly,2,725475,B2
landing,2,9989426,B2
believed,2,13851733,B2
finest,2,9668295,B2
lying,2,8260845,B2
richer,2,1838539,B2
timer,2,9811546,B2
spear,2,13564884,B2
