word,series_frequency,english_frequency,vocabulary_level
value,1,252007531,B1
event,1,326750714,B1
knowledge,1,89879571,B1
position,1,114461372,B1
require,1,102164234,B1
council,1,118875527,B2
service,1,1081744026,B1
loss,1,97988978,B2
income,1,82095217,B2
title,1,241947903,B1
main,1,202268783,B1
deal,1,155018212,B2
within,1,261390908,B1
command,1,76990257,B2
risk,1,110691904,B2
care,1,230084008,B1
response,1,84065293,B2
wish,1,84275843,B2
though,1,91929439,B1
land,1,117024112,B1
working,1,148966565,B1
solution,1,180104309,B1
privacy,1,333272427,B2
death,1,94459595,B1
charge,1,93253122,B1
