word,series_frequency,english_frequency,filter_reason,vocabulary_level
kill,13,31335290,Oxford 3000,A2
brother,11,56375413,Oxford 3000,A1
fight,10,34268222,Oxford 3000,B1
remember,9,84324100,Oxford 3000,A1
wall,8,74268226,Oxford 3000,A1
lord,8,52474647,Oxford 3000,N/A
trial,7,72001855,"High English frequency (72,001,855 > 20,000,000)",B2
safe,7,64247128,Oxford 3000,A1
dead,6,48412882,Oxford 3000,A2
told,6,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
sister,5,35155790,Oxford 3000,A1
believe,5,75918053,Oxford 3000,A2
village,4,49333133,Oxford 3000,A1
nothing,4,73363579,Oxford 3000,A2
lady,4,58395651,Oxford 3000,B1
maybe,4,51946944,Oxford 3000,A2
son,4,71254769,Oxford 3000,A1
father,4,54388623,Oxford 3000,A1
getting,4,93506861,"High English frequency (93,506,861 > 20,000,000)",N/A
trust,4,61432231,Oxford 3000,B1
wanted,4,63301836,"High English frequency (63,301,836 > 20,000,000)",N/A
marry,4,4986925,Oxford 3000,B1
mother,4,66782465,Oxford 3000,A1
secret,4,44597035,Oxford 3000,B1
master,3,77138444,Oxford 3000,B2
coming,3,70099649,"High English frequency (70,099,649 > 20,000,000)",N/A
ever,3,100646034,Oxford 3000,A2
died,3,35803272,"High English frequency (35,803,272 > 20,000,000)",N/A
asking,3,19887691,Easy word (easy_words.csv),N/A
except,3,52230850,Oxford 3000,A2
gave,3,36576222,"High English frequency (36,576,222 > 20,000,000)",N/A
waiting,3,30170505,"High English frequency (30,170,505 > 20,000,000)",N/A
landing,3,9989426,Vocabulary level below C (B2),B2
happened,3,24951096,"High English frequency (24,951,096 > 20,000,000)",N/A
lost,3,74772026,Oxford 3000,A2
stupid,3,14144754,Oxford 3000,B1
sword,3,11815118,Vocabulary level below C (B2),B2
slow,3,28034239,Oxford 3000,A1
snow,3,35709742,Oxford 3000,A1
brought,3,39794764,"High English frequency (39,794,764 > 20,000,000)",N/A
duty,3,49442017,Oxford 3000,B1
promise,3,16019259,Oxford 3000,B1
daughter,3,33796898,Oxford 3000,A1
feed,3,94257521,Oxford 3000,B1
theme,2,57194325,Oxford 3000,B2
playing,2,51019438,"High English frequency (51,019,438 > 20,000,000)",N/A
throne,2,4208809,Easy word (easy_words.csv),C2
took,2,66297175,"High English frequency (66,297,175 > 20,000,000)",N/A
lesson,2,40960406,Oxford 3000,A1
queen,2,39224762,Oxford 3000,A2
justice,2,46700513,Oxford 3000,B2
anyway,2,26880093,"High English frequency (26,880,093 > 20,000,000)",A2
learned,2,23121323,"High English frequency (23,121,323 > 20,000,000)",N/A
pretty,2,51699969,Oxford 3000,A2
murder,2,17118348,Oxford 3000,B1
matter,2,96529766,Easy word (easy_words.csv),A2
came,2,73311488,"High English frequency (73,311,488 > 20,000,000)",N/A
named,2,34099544,"High English frequency (34,099,544 > 20,000,000)",N/A
knew,2,31636418,"High English frequency (31,636,418 > 20,000,000)",N/A
pot,2,16782126,Oxford 3000,B1
sorry,2,35595812,Oxford 3000,A1
judge,2,41823225,Oxford 3000,B1
probably,2,61626696,Oxford 3000,A2
killed,2,23240536,"High English frequency (23,240,536 > 20,000,000)",N/A
turn,2,97589879,Oxford 3000,A2
depend,2,29194205,Oxford 3000,N/A
else,2,96020036,Oxford 3000,A2
killer,2,13812346,Vocabulary level below C (B1),B1
rest,2,55957144,Oxford 3000,A2
anyone,2,74326492,Oxford 3000,A2
seven,2,44648436,Oxford 3000,A1
taking,2,70312688,"High English frequency (70,312,688 > 20,000,000)",N/A
married,2,30232332,Oxford 3000,A2
aunt,2,5203060,Oxford 3000,A2
feast,2,4656260,Easy word (easy_words.csv),C1
understand,2,65846056,Oxford 3000,A1
spend,2,29216744,Oxford 3000,A2
everything,2,91495139,Oxford 3000,A2
friendship,2,10634252,Oxford 3000,B1
grow,2,32600813,Oxford 3000,A2
leaving,2,23878642,"High English frequency (23,878,642 > 20,000,000)",N/A
dear,2,20825714,Oxford 3000,A1
myself,2,37983649,Oxford 3000,A2
anything,2,75999346,Oxford 3000,A1
moment,2,47882449,Oxford 3000,A2
saw,2,50570151,"High English frequency (50,570,151 > 20,000,000)",N/A
face,2,97858832,Oxford 3000,A1
silver,2,74330865,Oxford 3000,A2
hair,2,61313062,Oxford 3000,A1
propose,2,6292372,Oxford 3000,B2
chamber,2,27712943,"High English frequency (27,712,943 > 20,000,000)",N/A
soon,2,77038135,Oxford 3000,A2
late,2,65998289,Oxford 3000,A1
bring,2,74972410,Oxford 3000,A2
nice,2,69395609,Oxford 3000,A1
odd,2,25154531,Oxford 3000,B2
forgot,2,31626338,"High English frequency (31,626,338 > 20,000,000)",N/A
someone,2,76553113,Oxford 3000,A2
forever,2,17381863,Oxford 3000,B1
enough,2,83592616,Oxford 3000,A2
wrong,2,49934294,Oxford 3000,A1
outside,2,67458757,Oxford 3000,A1
door,2,76868330,Oxford 3000,A1
capital,2,70933885,Oxford 3000,A2
swore,2,663914,Easy word (easy_words.csv),N/A
alive,2,16064787,Easy word (easy_words.csv),B1
leave,2,70957750,Oxford 3000,A1
murdered,2,2843529,Easy word (easy_words.csv),N/A
visitor,2,64031818,Oxford 3000,A2
together,2,94482864,Oxford 3000,A1
hope,2,83608473,Oxford 3000,A2
cruel,2,4180956,Oxford 3000,B1
known,2,86436041,"High English frequency (86,436,041 > 20,000,000)",B2
steel,2,50194670,Oxford 3000,B2
chance,2,51442371,Oxford 3000,B1
castle,2,20908984,Oxford 3000,A2
beyond,2,47315243,Oxford 3000,B2
volunteer,2,39176660,Oxford 3000,B2
coward,2,2025145,Easy word (easy_words.csv),B2
till,2,16477131,Oxford 3000,A2
