word,series_frequency,english_frequency,vocabulary_level
ned,10,3228410,N/A
dothraki,9,0,N/A
jon,7,16310459,N/A
lannister,7,0,N/A
khal,7,14020,N/A
bran,6,989015,N/A
arryn,5,0,N/A
arya,5,199672,N/A
deserter,4,251590,N/A
hors,4,16104943,N/A
winterfell,4,0,N/A
imp,4,3497850,N/A
moaning,4,907347,N/A
tyrion,4,14938,N/A
daenery,4,0,N/A
drogo,4,50077,N/A
wildling,3,0,N/A
crackling,3,271532,N/A
eddard,3,0,N/A
meant,3,17832930,N/A
sansa,3,217784,N/A
robb,3,1455922,N/A
targaryen,3,0,N/A
illyrio,3,0,N/A
jorah,3,0,N/A
rumbling,2,432935,N/A
rattling,2,423381,N/A
echoing,2,598763,N/A
chittering,2,34939,N/A
hissing,2,251593,N/A
beast,2,16763421,N/A
lived,2,18050710,N/A
cawing,2,15415,N/A
rightful,2,707949,N/A
chattering,2,237020,N/A
benjen,2,0,N/A
eyrie,2,57520,N/A
drumming,2,948407,N/A
grunting,2,146936,N/A
spear,2,13564884,N/A
