word,series_frequency,english_frequency,filter_reason,vocabulary_level
lord,14,52474647,Oxford 3000,N/A
father,14,54388623,Oxford 3000,A1
hear,12,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
brother,10,56375413,Oxford 3000,A1
sister,10,35155790,Oxford 3000,A1
queen,10,39224762,Oxford 3000,A2
saw,9,50570151,"High English frequency (50,570,151 > 20,000,000)",N/A
wall,7,74268226,Oxford 3000,A1
dead,7,48412882,Oxford 3000,A2
coming,7,70099649,"High English frequency (70,099,649 > 20,000,000)",N/A
lady,6,58395651,Oxford 3000,B1
told,6,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
horse,5,58453720,Oxford 3000,A1
gasp,5,1267829,Easy word (easy_words.csv),C2
laughter,5,3783649,Oxford 3000,B2
sorry,5,35595812,Oxford 3000,A1
kingdom,5,83204500,"High English frequency (83,204,500 > 20,000,000)",B2
pup,5,2733215,Easy word (easy_words.csv),N/A
drink,5,40392266,Oxford 3000,A1
playing,4,51019438,"High English frequency (51,019,438 > 20,000,000)",N/A
winter,4,53743632,Oxford 3000,A1
mother,4,66782465,Oxford 3000,A1
laugh,4,12662275,Oxford 3000,A2
rode,4,2446864,Easy word (easy_words.csv),N/A
oath,4,3167348,Easy word (easy_words.csv),N/A
seven,4,44648436,Oxford 3000,A1
belong,4,16045395,Oxford 3000,B2
door,4,76868330,Oxford 3000,A1
leave,4,70957750,Oxford 3000,A1
soon,4,77038135,Oxford 3000,A2
seen,3,78381896,"High English frequency (78,381,896 > 20,000,000)",N/A
whatever,3,31901912,Oxford 3000,B1
beautiful,3,58503804,Oxford 3000,A1
laughing,3,5900004,Easy word (easy_words.csv),N/A
lad,3,3212044,Easy word (easy_words.csv),C2
cat,3,62574939,Oxford 3000,A1
rest,3,55957144,Oxford 3000,A2
gone,3,34511028,"High English frequency (34,511,028 > 20,000,000)",N/A
understand,3,65846056,Oxford 3000,A1
kill,3,31335290,Oxford 3000,A2
yourself,3,53653034,Oxford 3000,A2
anything,3,75999346,Oxford 3000,A1
fool,3,10735163,Easy word (easy_words.csv),B1
husband,3,25002557,Oxford 3000,A1
honor,3,24511949,"High English frequency (24,511,949 > 20,000,000)",N/A
landing,3,9989426,Vocabulary level below C (B2),B2
took,3,66297175,"High English frequency (66,297,175 > 20,000,000)",N/A
brought,3,39794764,"High English frequency (39,794,764 > 20,000,000)",N/A
pretty,3,51699969,Oxford 3000,A2
royal,3,47361578,Oxford 3000,B2
doing,3,81188350,"High English frequency (81,188,350 > 20,000,000)",N/A
fat,3,51311873,Oxford 3000,A1
wanted,3,63301836,"High English frequency (63,301,836 > 20,000,000)",N/A
feast,3,4656260,Easy word (easy_words.csv),C1
guest,3,79375729,Oxford 3000,A2
stay,3,86241601,Oxford 3000,A1
army,3,46902606,Oxford 3000,C2
capital,3,70933885,Oxford 3000,A2
hope,3,83608473,Oxford 3000,A2
tournament,3,28755559,"High English frequency (28,755,559 > 20,000,000)",B1
fight,3,34268222,Oxford 3000,B1
stop,3,86868060,Oxford 3000,A1
murdered,3,2843529,Easy word (easy_words.csv),N/A
gate,2,28235760,Oxford 3000,A2
chain,2,45851350,Oxford 3000,A2
savage,2,5686250,Easy word (easy_words.csv),N/A
died,2,35803272,"High English frequency (35,803,272 > 20,000,000)",N/A
scream,2,5596631,Oxford 3000,B1
theme,2,57194325,Oxford 3000,B2
corrected,2,6122004,Easy word (easy_words.csv),N/A
fine,2,75242969,Oxford 3000,A1
