word,series_frequency,english_frequency,vocabulary_level
stead,1,724786,N/A
disappeared,1,3791611,N/A
trueborn,1,0,N/A
born,1,52510893,N/A
incest,1,51428013,N/A
sending,1,20622624,N/A
negotiate,1,5129611,C1
ally,1,8193549,C1
trustworthy,1,1245589,C1
screaming,1,3812764,N/A
nightfall,1,334563,N/A
okay,1,15466771,N/A
ridge,1,17006841,N/A
clang,1,231706,N/A
forgiveness,1,2501286,C2
closer,1,15446664,N/A
shove,1,847364,N/A
bunghole,1,34984,N/A
aye,1,8638435,N/A
chose,1,9409845,N/A
warrant,1,12413608,N/A
transporting,1,2048610,N/A
sharpened,1,405271,N/A
nick,1,19420019,N/A
artery,1,5101228,N/A
nicked,1,165643,N/A
unnick,1,0,N/A
crossroad,1,3189931,N/A
murmuring,1,182572,N/A
pealing,1,30377,N/A
laughing,1,5900004,N/A
auxiliary,1,4773655,N/A
suffered,1,8148331,N/A
fearsome,1,316712,N/A
beggar,1,1131399,N/A
keeping,1,25280309,N/A
discretion,1,8936529,C2
legendary,1,5158604,C1
unspeakable,1,394872,N/A
brighter,1,1878111,N/A
threatened,1,7160212,N/A
played,1,34970056,N/A
thrown,1,6153088,N/A
paddling,1,1265200,N/A
perfected,1,895903,N/A
tearing,1,1334273,N/A
gesture,1,3544213,C1
deft,1,299809,N/A
diplomacy,1,2352610,C2
flew,1,3529715,N/A
somewhat,1,15620893,C1
rising,1,14108530,N/A
superstitious,1,333698,N/A
attacked,1,5106909,N/A
chamber,1,27712943,N/A
believing,1,3401919,N/A
dignity,1,4122174,C2
holding,1,35015197,N/A
farted,1,93867,N/A
shook,1,2917411,N/A
blowing,1,5695084,N/A
raspberry,1,2401182,N/A
watching,1,21543474,N/A
toward,1,66823223,N/A
milkmaid,1,41427,N/A
violet,1,4559915,N/A
older,1,44256753,N/A
changed,1,45453557,N/A
potatoe,1,5283312,N/A
sledge,1,680234,N/A
turnip,1,520633,N/A
barking,1,1650384,N/A
supposed,1,14497557,N/A
ordered,1,20046781,N/A
sworn,1,2332355,N/A
ser,1,7276202,N/A
lif,1,43191570,N/A
breathing,1,6778253,N/A
weeping,1,1175714,N/A
sobbing,1,346430,N/A
wailing,1,449707,N/A
smaller,1,24982548,N/A
felt,1,33507506,N/A
giggle,1,1278396,C2
dock,1,7551830,C1
smiling,1,3931929,N/A
islander,1,4353177,N/A
reaver,1,247297,N/A
raper,1,121418,N/A
sat,1,70997818,N/A
grunt,1,899946,N/A
talking,1,36617848,N/A
moan,1,1479991,C2
breeding,1,7138425,N/A
ashore,1,876754,N/A
moaning,1,907347,N/A
grumbling,1,249165,N/A
snap,1,9490577,C2
sincerest,1,140607,N/A
sniffle,1,142667,N/A
poorly,1,4799466,C1
handled,1,7871280,N/A
sometime,1,52184367,N/A
thinking,1,41347669,N/A
acquired,1,12619643,N/A
cried,1,4352198,N/A
rapport,1,1610119,N/A
mitigate,1,1975084,N/A
patron,1,5378838,N/A
offered,1,50347350,N/A
succeeded,1,4026219,N/A
mitigated,1,549808,N/A
mourn,1,1062771,N/A
squire,1,1561278,N/A
improper,1,3121296,N/A
