word,series_frequency,english_frequency,vocabulary_level
men,27,196195250,N/A
are,25,2395433165,N/A
was,25,1483428678,N/A
did,19,275450874,N/A
has,16,1046319984,N/A
were,16,570712602,N/A
been,12,575087223,N/A
doe,9,321965419,N/A
had,9,480345947,N/A
alway,8,127836367,N/A
going,7,155862313,N/A
asked,7,75532722,N/A
said,7,315595259,N/A
done,6,102841314,N/A
got,6,145268693,N/A
doing,5,81188350,N/A
seem,4,92129504,N/A
made,4,287369575,N/A
children,3,214638176,N/A
looking,3,150610176,N/A
women,3,261450772,N/A
seen,3,78381896,N/A
called,2,106978150,N/A
needed,2,76528079,N/A
started,2,77515342,N/A
making,2,124399532,N/A
given,2,126028149,N/A
