word,series_frequency,english_frequency,vocabulary_level
claim,1,77027977,B2
land,1,117024112,B1
original,1,116352708,B1
master,1,77138444,B2
force,1,113500318,B2
working,1,148966565,B1
council,1,118875527,B2
result,1,395605888,B1
reply,1,226506692,B1
following,1,221359876,B2
discussion,1,143959160,B1
risk,1,110691904,B2
charge,1,93253122,B1
power,1,246570236,B1
investment,1,87906570,B2
amount,1,121624115,B1
interest,1,159511351,B1
allow,1,120405543,B1
approach,1,81227493,B1
rather,1,73664932,B1
within,1,261390908,B1
mile,1,122191270,B1
front,1,102871721,B1
mind,1,84923564,B1
voice,1,75729708,B1
bay,1,81093638,B1
experience,1,161263150,B1
known,1,86436041,B2
