word,series_frequency,english_frequency,vocabulary_level
landing,9,9989426,B2
screeching,5,316938,B2
knight,4,18888233,B2
chittering,3,34939,B2
cloak,3,1707423,B2
forgotten,3,14214206,B2
grunting,3,146936,B2
loyalty,3,5105192,B2
traitor,3,1109468,B2
regent,3,6134139,B2
liar,3,3027600,B2
urinating,2,255567,B2
rustling,2,203837,B2
chattering,2,237020,B2
gutter,2,2080564,B2
whistling,2,615829,B2
blessed,2,6405474,B2
wrestling,2,10996334,B2
deeper,2,6910132,B2
buzzing,2,701772,B2
approaching,2,4383496,B2
filth,2,2077997,B2
dwarf,2,4350711,B2
chatter,2,2012283,B2
tavern,2,3157867,B2
apprentice,2,3962782,B2
insult,2,3117634,B2
grandchildren,2,3315507,B2
commanded,2,2008832,B2
crown,2,18024012,B2
scraping,2,667704,B2
