word,series_frequency,english_frequency,vocabulary_level
fume,1,1606878,N/A
closer,1,15446664,N/A
tilted,1,825316,N/A
blowing,1,5695084,N/A
lifeguard,1,783898,N/A
dude,1,7556738,N/A
sewing,1,6301885,C1
residency,1,4340127,N/A
closing,1,18813715,N/A
dural,1,162445,N/A
sac,1,4378515,N/A
shredded,1,1085214,N/A
spine,1,5907774,C1
membrane,1,11864838,N/A
stenos,1,42903,N/A
spilled,1,978351,N/A
fluid,1,16375809,C2
flowing,1,4208602,N/A
sewed,1,175012,N/A
sitting,1,18868156,N/A
dropped,1,12265666,N/A
blacked,1,197675,N/A
broke,1,10460811,N/A
gentlemen,1,3837865,N/A
switched,1,5245466,N/A
flyer,1,9403727,N/A
reminding,1,1147429,N/A
sounded,1,3072513,N/A
sunblock,1,298113,N/A
fuselage,1,852651,N/A
distress,1,3528771,C1
wounded,1,4725318,N/A
shrapnel,1,330415,N/A
tourniquet,1,245152,N/A
stopped,1,14956865,N/A
bleeding,1,5496166,N/A
backing,1,5447072,C2
vocal,1,16017854,N/A
freak,1,6388750,N/A
lof,1,12741972,N/A
comeback,1,1973355,C2
tran,1,15899168,N/A
walkie,1,581611,N/A
talkie,1,449995,N/A
survived,1,4427602,N/A
concussion,1,446292,N/A
hoping,1,8825881,N/A
separated,1,9752054,N/A
fell,1,15337043,N/A
gargantuan,1,197760,N/A
dove,1,3253560,N/A
spoiler,1,4353299,N/A
premiere,1,7712394,N/A
safer,1,5113894,N/A
transmitting,1,1988592,N/A
