word,series_frequency,english_frequency,vocabulary_level
shield,8,12985151,C1
gurney,6,517787,N/A
stillsuit,6,0,N/A
crawler,6,1333077,N/A
ajax,6,3980338,N/A
niner,6,242639,N/A
imperial,5,9887596,N/A
wormsign,5,0,N/A
sandworm,4,15280,N/A
baron,4,4074414,N/A
meant,4,17832930,N/A
thumper,4,287295,N/A
reverend,3,2012844,N/A
seeker,3,18365495,N/A
compactor,3,483744,N/A
spotter,3,1118463,N/A
legion,3,3573249,N/A
highborn,3,0,N/A
harvester,2,1100386,N/A
herald,2,12364307,N/A
navigator,2,6025158,N/A
spacing,2,3244411,N/A
solaris,2,9166466,N/A
happening,2,13986796,N/A
truthsayer,2,0,N/A
defiance,2,1532737,N/A
obliteration,2,144315,N/A
bloodline,2,669909,N/A
superstition,2,1214620,N/A
rhythmic,2,1177228,N/A
nois,2,1698820,N/A
sandwalk,2,0,N/A
dignity,2,4122174,C2
ecologist,2,575834,N/A
outworlder,2,0,N/A
thopter,2,0,N/A
battalion,2,3499455,N/A
fremkit,2,0,N/A
landsraad,2,0,N/A
unquenchable,2,76557,N/A
weakling,2,99520,N/A
