word,series_frequency,english_frequency,vocabulary_level
rolling,1,15125241,N/A
nightfall,1,334563,N/A
ravage,1,397955,N/A
controlling,1,8536013,N/A
obscenely,1,76407,N/A
richer,1,1838539,N/A
decree,1,4049133,N/A
oppressor,1,336338,N/A
ceremonial,1,1099763,N/A
woke,1,2630503,N/A
treacherous,1,550477,N/A
hostile,1,3716801,C1
sandstorm,1,370336,N/A
adapted,1,6767295,N/A
preferring,1,585281,N/A
inhabit,1,959009,C2
remotest,1,109512,N/A
hazardous,1,11095147,C2
hallucinogen,1,250932,N/A
preserf,1,1958403,N/A
interstellar,1,756734,N/A
smiling,1,3931929,N/A
traveling,1,9647591,N/A
formality,1,887515,N/A
ascendant,1,856092,N/A
witnessed,1,3002335,N/A
steward,1,2273590,N/A
stabilizer,1,1460917,N/A
martialed,1,34002,N/A
lying,1,8260845,N/A
fallen,1,7714660,N/A
scout,1,9905937,N/A
studied,1,12881982,N/A
fought,1,5535215,N/A
weaken,1,1412774,C1
stronger,1,9076588,N/A
mining,1,16995862,C1
ruled,1,5589851,N/A
cultivate,1,1256983,C1
sitting,1,18868156,N/A
imitate,1,880433,C1
stride,1,2444646,N/A
penetrate,1,1949285,N/A
necessity,1,7171192,C1
aris,1,4067522,N/A
aye,1,8638435,N/A
belonged,1,1872474,N/A
owning,1,2696984,N/A
brutal,1,5675803,C1
disrespect,1,596091,C1
bade,1,452907,N/A
caught,1,17749748,N/A
gnaw,1,121856,N/A
sifting,1,307984,N/A
sift,1,689942,N/A
impuls,1,850339,N/A
inherit,1,2022122,C2
birthright,1,378668,N/A
dreamt,1,452328,N/A
dreamed,1,1698003,N/A
wield,1,562901,C2
wasted,1,3559742,N/A
awakened,1,816053,N/A
measured,1,17721173,N/A
laid,1,13359320,N/A
squander,1,165058,C2
blown,1,4229918,N/A
falling,1,12324340,N/A
smoothing,1,1267558,N/A
fooled,1,1289616,N/A
mandatory,1,9884397,N/A
attendance,1,14248622,C1
pointing,1,6581550,N/A
messiah,1,2182504,N/A
planting,1,5321947,N/A
waited,1,3938627,N/A
wreaking,1,122521,N/A
havoc,1,1692191,N/A
spaceport,1,129807,N/A
plume,1,1708869,N/A
refinery,1,2310445,N/A
vulnerable,1,7731173,C2
guarding,1,1005862,N/A
refine,1,12233772,C2
hellhole,1,55829,N/A
scrub,1,3947396,N/A
housekeeper,1,721064,N/A
dipper,1,436617,N/A
concealed,1,2228233,N/A
bodice,1,525965,N/A
prophecy,1,3820239,N/A
revelation,1,6948404,C2
pilgrim,1,3216470,N/A
heatstroke,1,52583,N/A
indigenous,1,8636449,N/A
organism,1,9001927,N/A
reaching,1,9832263,N/A
emulate,1,1293999,N/A
scant,1,543285,N/A
cultivated,1,1766032,N/A
rooted,1,2315294,N/A
terranic,1,0,N/A
saguaro,1,215436,N/A
burrobush,1,0,N/A
verbena,1,278322,N/A
incense,1,3032805,N/A
deepest,1,1939355,N/A
documented,1,7748021,N/A
stretching,1,3443172,N/A
parched,1,187436,N/A
nutrient,1,7982279,N/A
cemented,1,393493,N/A
resignation,1,2834133,C2
absolution,1,265660,N/A
activate,1,5974053,N/A
exile,1,3389556,C2
violating,1,2165306,N/A
sanctity,1,593033,N/A
witch,1,8574215,C1
dune,1,4015370,N/A
humiliation,1,3772265,N/A
abundance,1,5265433,N/A
seas,1,5254799,N/A
hid,1,2240111,N/A
silos,1,483560,N/A
crate,1,3263115,N/A
sabotage,1,1049828,N/A
arbitrate,1,213512,N/A
oversee,1,3106731,N/A
appoint,1,5143136,C1
eccentric,1,1428379,C2
