word,series_frequency,english_frequency,vocabulary_level
are,48,2395433165,N/A
was,19,1483428678,N/A
been,16,575087223,N/A
has,16,1046319984,N/A
were,11,570712602,N/A
did,9,275450874,N/A
had,9,480345947,N/A
done,7,102841314,N/A
doe,7,321965419,N/A
going,6,155862313,N/A
given,4,126028149,N/A
making,4,124399532,N/A
got,4,145268693,N/A
called,4,106978150,N/A
men,4,196195250,N/A
made,4,287369575,N/A
alway,3,127836367,N/A
said,3,315595259,N/A
getting,3,93506861,N/A
provided,2,159785849,N/A
having,2,109360096,N/A
seem,2,92129504,N/A
seen,2,78381896,N/A
