word,series_frequency,english_frequency,vocabulary_level
worm,10,9809607,B2
blade,5,16974849,B2
tribe,2,14743472,B2
sweat,2,5297598,B2
chaos,2,8690268,B2
squeeze,2,3015480,B2
cruelty,1,1993159,B2
unreliable,1,1371893,B2
betray,1,789698,B2
grave,1,6929008,B2
kneel,1,527687,B2
trap,1,11197166,B2
inner,1,17581749,B2
pride,1,14924461,B2
steer,1,2725252,B2
deprive,1,702310,B2
strengthen,1,8490992,B2
bare,1,8762991,B2
treasure,1,13828038,B2
fierce,1,2562384,B2
mask,1,16203086,B2
harvest,1,9790483,B2
extract,1,14851435,B2
sword,1,11815118,B2
forbid,1,1729401,B2
ecological,1,7120322,B2
beneath,1,7362453,B2
certainty,1,2861489,B2
