word,series_frequency,english_frequency,vocabulary_level
expecting,1,4908583,N/A
lobster,1,3488297,N/A
unfulfilled,1,306956,N/A
massage,1,18309976,N/A
madame,1,2406665,N/A
smiling,1,3931929,N/A
imagined,1,2631487,N/A
utmost,1,1981459,C1
accommodate,1,7823094,N/A
fulfilling,1,2709097,C2
comforting,1,997036,C2
preceded,1,2429747,N/A
sedative,1,333596,N/A
transported,1,2986479,N/A
permitted,1,15372818,N/A
calmed,1,334820,N/A
diagnosed,1,4692575,N/A
chemo,1,536433,N/A
scare,1,3729793,C1
emailed,1,3418262,N/A
puff,1,2398749,N/A
blueberry,1,2037568,N/A
hoping,1,8825881,N/A
flooded,1,1761295,N/A
stayed,1,10286077,N/A
slipping,1,1379406,N/A
hung,1,8543618,N/A
dying,1,9123557,N/A
sufficiently,1,5116122,C1
tumour,1,1942730,N/A
meaningless,1,1619312,N/A
futile,1,956638,N/A
thankfully,1,1538033,C1
unfathomable,1,176192,N/A
leaning,1,2625865,N/A
listening,1,19542217,N/A
shimmering,1,737967,N/A
reconcile,1,1359885,C2
cute,1,17912721,N/A
drove,1,5545848,N/A
blouse,1,1337862,N/A
kissed,1,2254272,N/A
becasue,1,212019,N/A
laid,1,13359320,N/A
knicker,1,646092,N/A
licked,1,1316428,N/A
penetrated,1,889589,N/A
arranging,1,2043604,N/A
planner,1,16141160,N/A
burying,1,502926,N/A
constructive,1,3445093,C1
lived,1,18050710,N/A
gasping,1,352190,N/A
lied,1,2215843,N/A
swamped,1,359056,N/A
grown,1,13931521,N/A
barking,1,1650384,N/A
hugging,1,705015,N/A
tweak,1,3010773,N/A
nicer,1,1239249,N/A
farewell,1,3121563,N/A
pooper,1,166020,N/A
enjoying,1,6647058,N/A
flogging,1,520099,N/A
nevermind,1,586282,N/A
macaroon,1,98674,N/A
drain,1,7894408,C2
disgust,1,915400,C2
clung,1,365864,N/A
dragged,1,1846171,N/A
stopped,1,14956865,N/A
drowning,1,1918497,N/A
putting,1,18519708,N/A
sleeping,1,11840656,N/A
borrowed,1,2646232,N/A
taught,1,16082512,N/A
braid,1,1382749,N/A
kiosk,1,2705190,N/A
tractor,1,7238499,C2
hereby,1,7556876,N/A
answering,1,6472783,N/A
