word,series_frequency,english_frequency,filter_reason,vocabulary_level
everything,11,91495139,Oxford 3000,A2
mum,9,4435277,Oxford 3000,A1
doing,7,81188350,"High English frequency (81,188,350 > 20,000,000)",N/A
sorry,7,35595812,Oxford 3000,A1
wanted,6,63301836,"High English frequency (63,301,836 > 20,000,000)",N/A
feel,6,104136684,Oxford 3000,A1
beautiful,6,58503804,Oxford 3000,A1
sister,6,35155790,Oxford 3000,A1
drink,6,40392266,Oxford 3000,A1
talk,6,113335003,Oxford 3000,A1
leave,6,70957750,Oxford 3000,A1
stop,6,86868060,Oxford 3000,A1
enough,6,83592616,Oxford 3000,A2
happy,5,63486618,Oxford 3000,A1
leaving,5,23878642,"High English frequency (23,878,642 > 20,000,000)",N/A
sit,5,24359793,Oxford 3000,A1
sleep,5,34887707,Oxford 3000,A1
ago,5,98839705,Oxford 3000,A2
understand,5,65846056,Oxford 3000,A1
anything,4,75999346,Oxford 3000,A1
morning,4,55268727,Oxford 3000,A1
fine,4,75242969,Oxford 3000,A1
thought,4,119724175,Oxford 3000,B1
went,4,68130142,"High English frequency (68,130,142 > 20,000,000)",N/A
yourself,4,53653034,Oxford 3000,A2
calm,4,8109866,Oxford 3000,B1
already,4,108324565,Oxford 3000,A2
guest,4,79375729,Oxford 3000,A2
walk,4,46873435,Oxford 3000,A1
remember,4,84324100,Oxford 3000,A1
dad,4,16837773,Easy word (easy_words.csv),A1
alright,4,3632981,Vocabulary level below C (A1),A1
die,4,54277728,Oxford 3000,A1
maybe,4,51946944,Oxford 3000,A2
summer,4,70182891,Oxford 3000,A1
mother,4,66782465,Oxford 3000,A1
okay,4,15466771,Easy word (easy_words.csv),N/A
died,4,35803272,"High English frequency (35,803,272 > 20,000,000)",N/A
afraid,3,10858793,Oxford 3000,A2
sure,3,110687855,Oxford 3000,A2
glad,3,14607042,Oxford 3000,A2
took,3,66297175,"High English frequency (66,297,175 > 20,000,000)",N/A
excuse,3,6390272,Oxford 3000,B1
alone,3,39326417,Oxford 3000,A2
bed,3,82564175,Oxford 3000,A1
sigh,3,3737468,Easy word (easy_words.csv),B2
happen,3,47239250,Oxford 3000,A2
perfect,3,60242920,Oxford 3000,A2
wish,3,84275843,Oxford 3000,B2
laugh,3,12662275,Oxford 3000,A2
helicopter,3,8211102,Oxford 3000,A2
choice,3,87774404,Easy word (easy_words.csv),B1
later,3,84945415,Oxford 3000,A2
bag,3,70582480,Oxford 3000,A1
tried,3,34201786,"High English frequency (34,201,786 > 20,000,000)",N/A
feeling,3,37845806,Easy word (easy_words.csv),B1
woman,3,71398090,Oxford 3000,A1
five,3,104165769,Oxford 3000,A1
kind,3,104902454,Oxford 3000,A1
refuse,3,7906739,Oxford 3000,B1
scared,3,5071401,Oxford 3000,B1
guess,3,29330172,Oxford 3000,A2
wait,3,41363575,Oxford 3000,A1
paid,3,60294928,"High English frequency (60,294,928 > 20,000,000)",N/A
comfort,3,29367131,Oxford 3000,B2
