word,series_frequency,english_frequency,vocabulary_level
hound,5,3230248,N/A
vengeance,5,2266642,N/A
priestess,4,421777,N/A
foe,4,2678495,N/A
exile,3,3389556,C2
knight,3,18888233,N/A
captor,3,675419,N/A
scattered,3,4879386,C2
fled,3,2245856,N/A
unite,3,3590315,C1
crossbow,3,591100,N/A
militant,3,3035365,N/A
saga,2,4044373,N/A
semi,2,16450653,N/A
swordsman,2,301703,N/A
bargaining,2,4588171,N/A
pact,2,2354559,C2
revolting,2,255451,N/A
ire,2,1930840,N/A
reign,2,4254700,C1
gallant,2,883645,N/A
sought,2,12398749,N/A
mythical,2,1152422,N/A
faction,2,2939290,N/A
traitor,2,1109468,N/A
mentor,2,7564733,N/A
protege,2,589121,N/A
vow,2,2874235,C2
elevate,2,1043442,N/A
mighty,2,7268735,C2
seduced,2,571872,N/A
dwarf,2,4350711,N/A
fanatic,2,2619104,C2
vulnerable,2,7731173,C2
