word,series_frequency,english_frequency,vocabulary_level
weaving,1,2094349,N/A
tangled,1,1038220,N/A
greed,1,1997460,C1
numbered,1,4773804,N/A
ruling,1,9823490,C2
loveless,1,405321,N/A
chose,1,9409845,N/A
abusive,1,3183793,C2
haired,1,3043626,N/A
governed,1,4887138,N/A
fiercely,1,753076,N/A
integrity,1,13247038,C2
compass,1,5248030,N/A
rooting,1,656335,N/A
decimation,1,412118,N/A
reverberate,1,126995,N/A
clan,1,8359163,N/A
deeper,1,6910132,N/A
sleeping,1,11840656,N/A
felon,1,760375,N/A
dysfunctional,1,828019,N/A
frowned,1,525610,N/A
coma,1,1607183,N/A
tartan,1,1411365,N/A
wedlock,1,268858,N/A
ripped,1,2642534,N/A
thrown,1,6153088,N/A
anticipated,1,7805107,N/A
unseat,1,123869,N/A
dethroned,1,134456,N/A
surviving,1,4024027,N/A
sibling,1,4379544,C2
madness,1,5698238,N/A
protecting,1,9941975,N/A
hors,1,16104943,N/A
nicety,1,152140,N/A
backfire,1,415962,N/A
empowered,1,1727631,N/A
obeying,1,387442,N/A
bargained,1,279936,N/A
escaped,1,2878893,N/A
northernmost,1,197354,N/A
legendary,1,5158604,C1
appearing,1,13254387,N/A
folklore,1,2520236,N/A
motif,1,6548927,N/A
dude,1,7556738,N/A
parentage,1,386751,N/A
understandably,1,607662,C1
unfaithful,1,324015,N/A
marrying,1,883879,N/A
banquet,1,5297392,N/A
fairy,1,8468245,N/A
treason,1,1155400,N/A
misjudge,1,30591,N/A
heartbreaking,1,437466,N/A
witnessing,1,935019,N/A
resilient,1,1146560,C2
realized,1,11186108,N/A
splinter,1,1921616,N/A
whisked,1,203086,N/A
murderous,1,757472,N/A
beheaded,1,371424,N/A
robber,1,1385091,N/A
mantle,1,2354619,N/A
worn,1,7252925,N/A
patriarch,1,996121,N/A
warrior,1,14266719,C1
strategist,1,1026060,N/A
imp,1,3497850,N/A
stereotype,1,2314839,C1
blown,1,4229918,N/A
archetypal,1,301427,N/A
pyre,1,149729,N/A
fossilized,1,146704,N/A
emerging,1,13504049,N/A
unscathed,1,243896,N/A
hatched,1,525318,N/A
innate,1,1052902,C2
tyranny,1,1675933,N/A
brutalizing,1,24171,N/A
chivalrous,1,91761,N/A
dreamed,1,1698003,N/A
imaginable,1,869241,N/A
enduring,1,2261346,N/A
bully,1,2278609,C1
shagging,1,226486,N/A
hoped,1,5086531,N/A
punishable,1,888057,N/A
sustainer,1,150757,N/A
letting,1,9131661,N/A
enlist,1,885439,N/A
savior,1,1822993,N/A
supposed,1,14497557,N/A
screw,1,12194010,N/A
battlefield,1,7530947,N/A
sorcery,1,873942,N/A
sinister,1,1667276,N/A
depiction,1,1662179,N/A
missed,1,18451052,N/A
quest,1,15692749,C2
underestimated,1,756706,N/A
hallway,1,2079912,N/A
undead,1,1056085,N/A
wanting,1,7463610,N/A
troop,1,16488753,N/A
fired,1,8031937,N/A
knocked,1,2576160,N/A
upstaged,1,55775,N/A
bolstered,1,314888,N/A
victorious,1,950493,N/A
cataclysmic,1,203547,N/A
stature,1,995928,N/A
securing,1,4838996,N/A
loser,1,4434428,N/A
reclaim,1,1389476,N/A
daft,1,1166488,N/A
boo,1,2884230,N/A
destined,1,2112859,N/A
swoop,1,549936,N/A
bust,1,5258179,N/A
gaining,1,4682505,N/A
replaced,1,14987637,N/A
feminist,1,4253324,N/A
matriarch,1,172618,N/A
bundled,1,1991914,N/A
raped,1,2040735,N/A
goodness,1,3890474,C2
devilish,1,290565,N/A
losing,1,12607223,N/A
questioning,1,3216170,N/A
heroic,1,2032242,C1
heartless,1,446382,N/A
safer,1,5113894,N/A
fearsome,1,316712,N/A
scheming,1,242178,N/A
torturing,1,473134,N/A
sucking,1,10301698,N/A
