word,series_frequency,english_frequency,vocabulary_level
are,53,2395433165,N/A
has,52,1046319984,N/A
was,51,1483428678,N/A
been,34,575087223,N/A
going,21,155862313,N/A
got,20,145268693,N/A
children,15,214638176,N/A
were,12,570712602,N/A
become,12,147957513,N/A
being,12,248842629,N/A
had,12,480345947,N/A
seen,11,78381896,N/A
lot,10,150766298,N/A
coming,9,70099649,N/A
alway,8,127836367,N/A
doe,7,321965419,N/A
getting,7,93506861,N/A
did,7,275450874,N/A
trying,6,57462639,N/A
made,6,287369575,N/A
greater,5,55673859,N/A
making,5,124399532,N/A
taken,5,87019836,N/A
taking,4,70312688,N/A
doing,4,81188350,N/A
seem,4,92129504,N/A
told,4,57248600,N/A
wanted,4,63301836,N/A
went,3,68130142,N/A
men,3,196195250,N/A
took,3,66297175,N/A
given,3,126028149,N/A
started,3,77515342,N/A
done,3,102841314,N/A
having,3,109360096,N/A
asked,2,75532722,N/A
held,2,76140043,N/A
women,2,261450772,N/A
able,2,109641322,C2
said,2,315595259,N/A
sent,2,68953120,N/A
