word,series_frequency,english_frequency,vocabulary_level
cobb,46,2633989,N/A
fischer,46,3574355,N/A
mal,29,2903273,N/A
subconscious,27,746396,N/A
saito,20,529547,N/A
projection,16,15818016,C1
eame,11,525955,N/A
telling,9,14181895,N/A
browning,9,2297288,N/A
dreaming,8,3136420,N/A
phillipa,8,68105,N/A
maze,8,2404306,N/A
maurice,8,3836537,N/A
inception,7,2425132,N/A
dreamer,7,1939889,N/A
deeper,7,6910132,N/A
dom,6,6781955,N/A
ariadne,6,419608,N/A
limbo,6,847468,N/A
totem,5,1098738,N/A
compound,5,17968420,N/A
gravity,5,7309660,N/A
extractor,4,2301344,N/A
supposed,4,14497557,N/A
cobol,4,1092207,N/A
layout,4,19437620,C1
sedative,4,333596,N/A
promised,4,7162874,N/A
trapped,4,3683039,N/A
resilient,3,1146560,C2
lying,3,8260845,N/A
sweetheart,3,2157453,N/A
leap,3,5837736,C2
taught,3,16082512,N/A
infinite,3,6795427,C2
morrow,3,2804574,N/A
noticed,3,12773325,N/A
sedation,3,662829,N/A
trained,3,13608102,N/A
loved,3,19719299,N/A
pulled,3,10724879,N/A
dis,3,7141885,N/A
