word,series_frequency,english_frequency,vocabulary_level
attendant,2,3473161,N/A
remembered,2,7259499,N/A
possessed,2,2573290,N/A
contagious,2,1009095,N/A
extraction,2,6599210,N/A
threatening,2,5146833,N/A
closer,2,15446664,N/A
audition,2,4213265,C1
talked,2,9582713,N/A
consciously,2,1138251,N/A
happening,2,13986796,N/A
messing,2,1190210,N/A
converge,2,1839269,N/A
easiest,2,4138022,N/A
loaded,2,13714028,N/A
maz,2,493671,N/A
mombasa,2,370275,N/A
heir,2,2837503,C2
formulate,2,2035895,C2
freddy,2,1614437,N/A
paradox,2,2875181,C2
unstable,2,4691072,N/A
woken,2,364304,N/A
rumor,2,5977664,N/A
godfather,2,1747908,N/A
knowing,2,14410719,N/A
catharsis,2,192500,N/A
footstep,2,1579677,C1
specificity,2,2915308,N/A
whilst,2,9537785,N/A
falling,2,12324340,N/A
synchronize,2,1336374,N/A
dying,2,9123557,N/A
freight,2,8494915,N/A
meant,2,17832930,N/A
sedated,2,148017,N/A
gunfire,2,502511,N/A
alternate,2,13447528,C1
destroying,2,2808051,N/A
inheritance,2,4110269,C2
locked,2,10837051,N/A
chose,2,9409845,N/A
woke,2,2630503,N/A
rod,2,17351135,N/A
involf,2,12878082,N/A
strangeness,2,312445,N/A
kidnapped,2,1587915,N/A
taunt,2,482952,N/A
dreamt,2,452328,N/A
antechamber,2,48604,N/A
smallest,2,5075157,N/A
planted,2,4001421,N/A
belonged,1,1872474,N/A
radical,1,10087925,C1
parasite,1,3034835,N/A
intestinal,1,2358994,N/A
eradicate,1,877268,C2
formed,1,19429976,N/A
understood,1,11962620,N/A
defens,1,1619699,N/A
lowered,1,2971192,N/A
vulnerable,1,7731173,C2
therapist,1,8719311,C1
gentlemen,1,3837865,N/A
jumped,1,3761906,N/A
postwar,1,935482,N/A
silenced,1,546848,N/A
gunshot,1,546547,N/A
grunt,1,899946,N/A
judging,1,3271774,N/A
decor,1,12465988,N/A
collapsing,1,679748,N/A
dunk,1,1402074,N/A
nest,1,6735749,C2
extracted,1,4674721,N/A
deception,1,2659910,C2
edith,1,2271217,N/A
regrette,1,0,N/A
rien,1,328909,N/A
hired,1,6526426,N/A
hated,1,3173792,N/A
stained,1,4217928,N/A
frayed,1,330676,N/A
distinctive,1,4972660,C1
polyester,1,5888214,N/A
lived,1,18050710,N/A
kyoto,1,4682367,N/A
compartment,1,4476596,N/A
shaking,1,3005624,N/A
mommy,1,3288748,N/A
nash,1,3622689,N/A
buenos,1,3577309,N/A
aire,1,4572019,N/A
sniff,1,1174181,C2
stateside,1,294602,N/A
planting,1,5321947,N/A
genesis,1,8354765,N/A
fake,1,11922383,C1
inherit,1,2022122,C2
assemble,1,2927670,C2
wisely,1,1647283,C1
broom,1,1693540,N/A
extradition,1,763489,N/A
bureaucratic,1,1157025,N/A
occasional,1,6424555,C1
stuffed,1,5120285,N/A
navigate,1,15807108,N/A
legitimate,1,6943337,C2
corrupt,1,4051528,C1
brightest,1,1228553,N/A
existed,1,5200469,N/A
grandchildren,1,3315507,N/A
placement,1,17326945,N/A
fraction,1,9611147,C2
designing,1,9473961,N/A
discovering,1,3297298,N/A
perceive,1,2519370,C1
sleeping,1,11840656,N/A
strangle,1,291238,N/A
bookstore,1,13986985,N/A
populate,1,912848,N/A
vault,1,7241615,N/A
quicker,1,2673094,N/A
streetlamp,1,0,N/A
booth,1,9307763,N/A
grasp,1,3398499,C1
charmer,1,305566,N/A
forger,1,130147,N/A
versatile,1,4727772,C2
simplest,1,2486239,N/A
subtle,1,5175269,C2
dissolve,1,1307386,C1
monopolistic,1,246887,N/A
sentiment,1,3846142,C2
mercy,1,7059578,C2
yusuf,1,669674,N/A
interference,1,6422526,C1
simmond,1,289031,N/A
losing,1,12607223,N/A
paradoxical,1,429715,C2
penrose,1,519900,N/A
staircase,1,1231474,C1
safer,1,5113894,N/A
tailor,1,3678072,N/A
conglomerate,1,1130242,N/A
espionage,1,1168656,N/A
dominance,1,2381788,C2
superpower,1,920059,N/A
solely,1,10091700,C1
smelling,1,973663,N/A
avoiding,1,5155816,N/A
