word,series_frequency,english_frequency,vocabulary_level
are,66,2395433165,N/A
was,66,1483428678,N/A
were,27,570712602,N/A
did,25,275450874,N/A
had,21,480345947,N/A
doing,19,81188350,N/A
going,16,155862313,N/A
has,13,1046319984,N/A
children,13,214638176,N/A
said,13,315595259,N/A
got,11,145268693,N/A
been,11,575087223,N/A
become,10,147957513,N/A
getting,8,93506861,N/A
alway,8,127836367,N/A
done,8,102841314,N/A
lot,8,150766298,N/A
doe,7,321965419,N/A
seem,5,92129504,N/A
looking,5,150610176,N/A
asked,5,75532722,N/A
men,4,196195250,N/A
made,3,287369575,N/A
designed,3,83559486,N/A
