word,series_frequency,english_frequency,vocabulary_level
seen,2,78381896,N/A
taken,2,87019836,N/A
called,2,106978150,N/A
based,2,252405204,N/A
making,2,124399532,N/A
using,2,269448880,N/A
used,2,421438139,N/A
able,2,109641322,C2
needed,2,76528079,N/A
held,1,76140043,N/A
non,1,196109547,N/A
america,1,136214727,N/A
france,1,107251893,N/A
areas,1,121986327,N/A
corporate,1,85200397,C1
self,1,113959886,C1
being,1,248842629,N/A
aid,1,83178207,C1
component,1,94717090,C1
created,1,82342853,N/A
focus,1,74721938,C2
added,1,118410414,N/A
started,1,77515342,N/A
