word,series_frequency,english_frequency,filter_reason,vocabulary_level
dream,81,52657185,Oxford 3000,A2
idea,32,65459222,Oxford 3000,A2
wake,22,14996908,Oxford 3000,B1
okay,21,15466771,Easy word (easy_words.csv),N/A
kick,21,16734140,Oxford 3000,A1
train,15,40164074,Oxford 3000,A1
father,15,54388623,Oxford 3000,A1
trying,14,57462639,"High English frequency (57,462,639 > 20,000,000)",N/A
sorry,13,35595812,Oxford 3000,A1
truth,13,37860395,Oxford 3000,B2
listen,12,44504101,Oxford 3000,A1
reality,12,34420271,Oxford 3000,B2
safe,11,64247128,Oxford 3000,A1
understand,11,65846056,Oxford 3000,A1
nothing,11,73363579,Oxford 3000,A2
combination,11,34699399,Oxford 3000,B2
waiting,10,30170505,"High English frequency (30,170,505 > 20,000,000)",N/A
die,10,54277728,Oxford 3000,A1
knew,9,31636418,"High English frequency (31,636,418 > 20,000,000)",N/A
coming,9,70099649,"High English frequency (70,099,649 > 20,000,000)",N/A
deep,9,53536903,Oxford 3000,A2
yourself,9,53653034,Oxford 3000,A2
actually,8,69444655,Oxford 3000,A2
told,8,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
happened,8,24951096,"High English frequency (24,951,096 > 20,000,000)",N/A
grow,8,32600813,Oxford 3000,A2
move,8,70113140,Oxford 3000,A2
impossible,7,15564765,Oxford 3000,B1
wrong,7,49934294,Oxford 3000,A1
maybe,7,51946944,Oxford 3000,A2
entire,7,56327035,Oxford 3000,B2
talking,7,36617848,"High English frequency (36,617,848 > 20,000,000)",N/A
wanted,7,63301836,"High English frequency (63,301,836 > 20,000,000)",N/A
route,7,41054858,Oxford 3000,B1
ready,7,62997942,"High English frequency (62,997,942 > 20,000,000)",A1
kill,6,31335290,Oxford 3000,A2
anymore,6,10494227,Easy word (easy_words.csv),A2
came,6,73311488,"High English frequency (73,311,488 > 20,000,000)",N/A
daddy,6,9928046,Easy word (easy_words.csv),N/A
happen,6,47239250,Oxford 3000,A2
wait,6,41363575,Oxford 3000,A1
break,6,67285982,Oxford 3000,A2
regret,6,4855136,Oxford 3000,B1
alone,6,39326417,Oxford 3000,A2
protect,6,42331974,Oxford 3000,B1
uncle,6,8649726,Oxford 3000,A2
van,6,59585041,Oxford 3000,B1
almost,5,66408838,Oxford 3000,A2
steal,5,7929395,Oxford 3000,A2
secret,5,44597035,Oxford 3000,B1
wife,5,47510357,Oxford 3000,A1
leave,5,70957750,Oxford 3000,A1
dad,5,16837773,Easy word (easy_words.csv),A1
worse,5,15677739,Easy word (easy_words.csv),A2
sir,5,20704773,Oxford 3000,B1
powerful,5,33538932,Oxford 3000,B1
moment,5,47882449,Oxford 3000,A2
exactly,5,31759653,Oxford 3000,A2
calm,5,8109866,Oxford 3000,B1
tried,5,34201786,"High English frequency (34,201,786 > 20,000,000)",N/A
alive,5,16064787,Easy word (easy_words.csv),B1
layer,5,35930723,Oxford 3000,B2
emotion,5,11792504,Oxford 3000,B2
plane,5,24246018,Oxford 3000,A1
worth,5,48099042,Oxford 3000,N/A
drop,5,45620690,Oxford 3000,B1
shot,5,61225531,Oxford 3000,B2
jesus,5,34929061,"High English frequency (34,929,061 > 20,000,000)",N/A
built,5,61522194,"High English frequency (61,522,194 > 20,000,000)",N/A
jump,5,46930563,Oxford 3000,A2
guilt,5,3623942,Vocabulary level below C (B2),B2
brain,4,37025785,Oxford 3000,A2
trick,4,18230658,Oxford 3000,B1
asleep,4,3967813,Oxford 3000,B1
trust,4,61432231,Oxford 3000,B1
imagine,4,17657324,Oxford 3000,B1
pain,4,44900758,Oxford 3000,A2
accept,4,49819069,Oxford 3000,B1
architect,4,15859303,Oxford 3000,B1
guess,4,29330172,Oxford 3000,A2
empire,4,23736077,"High English frequency (23,736,077 > 20,000,000)",C1
creating,4,38863806,"High English frequency (38,863,806 > 20,000,000)",N/A
gif,4,55673869,"High English frequency (55,673,869 > 20,000,000)",N/A
floor,4,61623497,Oxford 3000,A1
six,4,71543101,Oxford 3000,A1
sleep,4,34887707,Oxford 3000,A1
concept,4,54521701,Oxford 3000,B2
killed,4,23240536,"High English frequency (23,240,536 > 20,000,000)",N/A
myself,4,37983649,Oxford 3000,A2
strong,4,61017481,Oxford 3000,A2
rest,4,55957144,Oxford 3000,A2
escape,4,17511290,Oxford 3000,B1
disappointed,4,5284061,Oxford 3000,B1
became,4,37332761,"High English frequency (37,332,761 > 20,000,000)",N/A
stick,3,28793076,Oxford 3000,B1
somewhere,3,14335599,Oxford 3000,A2
itself,3,51076716,Oxford 3000,A2
teach,3,24679160,Oxford 3000,A1
completely,3,34385075,Oxford 3000,B1
perhap,3,42450144,Oxford 3000,N/A
miss,3,42906521,Oxford 3000,A1
gun,3,35217715,Oxford 3000,B1
longer,3,54063969,"High English frequency (54,063,969 > 20,000,000)",N/A
apartment,3,69339429,Oxford 3000,A2
failed,3,30596963,"High English frequency (30,596,963 > 20,000,000)",N/A
carpet,3,15078024,Oxford 3000,A2
himself,3,39757666,Oxford 3000,A2
speak,3,39174652,Oxford 3000,A1
complex,3,50092131,Oxford 3000,B2
somebody,3,11159741,Easy word (easy_words.csv),A2
walk,3,46873435,Oxford 3000,A1
faith,3,36920083,Oxford 3000,B2
filled,3,23448324,"High English frequency (23,448,324 > 20,000,000)",N/A
thief,3,5188743,Oxford 3000,B1
middle,3,70231951,Oxford 3000,B2
realize,3,14098493,Oxford 3000,B1
foreign,3,67443436,Oxford 3000,A2
unless,3,52436419,Oxford 3000,B1
tail,3,12845641,Oxford 3000,B2
dead,3,48412882,Oxford 3000,A2
define,3,44732366,Oxford 3000,B2
suggest,3,51528961,Oxford 3000,B1
spin,3,14092760,Easy word (easy_words.csv),C1
positive,3,56132270,Oxford 3000,B1
stuck,3,9120620,Easy word (easy_words.csv),B2
feeling,3,37845806,Easy word (easy_words.csv),B1
anyway,3,26880093,"High English frequency (26,880,093 > 20,000,000)",A2
los,3,69625090,"High English frequency (69,625,090 > 20,000,000)",N/A
angele,3,46071017,"High English frequency (46,071,017 > 20,000,000)",N/A
flight,3,71157824,Oxford 3000,A2
gone,3,34511028,"High English frequency (34,511,028 > 20,000,000)",N/A
died,3,35803272,"High English frequency (35,803,272 > 20,000,000)",N/A
honor,3,24511949,"High English frequency (24,511,949 > 20,000,000)",N/A
immigration,3,15917812,Vocabulary level below C (B1),B1
went,3,68130142,"High English frequency (68,130,142 > 20,000,000)",N/A
pull,3,22908540,Oxford 3000,A2
christ,3,28486624,"High English frequency (28,486,624 > 20,000,000)",N/A
forget,3,25685480,Oxford 3000,A2
mother,3,66782465,Oxford 3000,A1
arrangement,3,30121314,Oxford 3000,B1
breathe,3,4368304,Oxford 3000,B1
explain,3,36301388,Oxford 3000,A2
hear,3,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
shift,3,24490094,Oxford 3000,B2
destroy,3,11139019,Oxford 3000,B1
wallet,3,9055587,Vocabulary level below C (A2),A2
attention,3,45017405,Oxford 3000,B1
met,2,45111009,"High English frequency (45,111,009 > 20,000,000)",N/A
virus,2,45072576,Oxford 3000,B1
worm,2,9809607,Vocabulary level below C (B2),B2
highly,2,42857273,Oxford 3000,B2
fully,2,48650832,Oxford 3000,B1
conscious,2,6037028,Oxford 3000,C1
defend,2,8874485,Oxford 3000,B1
skilled,2,7822819,Vocabulary level below C (B2),B2
playing,2,51019438,"High English frequency (51,019,438 > 20,000,000)",N/A
seat,2,46137154,Oxford 3000,A2
guard,2,27127471,Oxford 3000,B1
depend,2,29194205,Oxford 3000,N/A
prepared,2,32502271,Oxford 3000,B1
difficult,2,42436311,Oxford 3000,A1
involved,2,59408103,Oxford 3000,N/A
piece,2,70299352,Oxford 3000,A2
impressed,2,6470043,Oxford 3000,B2
mine,2,34337711,Oxford 3000,A2
rub,2,4176493,Oxford 3000,B2
grandma,2,3450933,Vocabulary level below C (A2),A2
shown,2,68755779,"High English frequency (68,755,779 > 20,000,000)",N/A
deliver,2,32303361,Oxford 3000,B1
elephant,2,8199763,Oxford 3000,A2
gave,2,36576222,"High English frequency (36,576,222 > 20,000,000)",N/A
offering,2,43157600,"High English frequency (43,157,600 > 20,000,000)",N/A
fix,2,39847571,Oxford 3000,B1
son,2,71254769,Oxford 3000,A1
decide,2,25539449,Oxford 3000,A2
guarantee,2,46277955,Oxford 3000,B2
chance,2,51442371,Oxford 3000,B1
convince,2,4248875,Oxford 3000,B1
exist,2,43987192,Oxford 3000,B1
standing,2,34637239,"High English frequency (34,637,239 > 20,000,000)",N/A
speaking,2,23813045,"High English frequency (23,813,045 > 20,000,000)",N/A
