word,series_frequency,english_frequency,vocabulary_level
relieve,1,3018810,C2
juris,1,432993,N/A
tion,1,20720968,N/A
cram,1,949910,N/A
traced,1,1849483,N/A
focus,1,74721938,C2
informant,1,1320543,N/A
begun,1,8636352,N/A
grand,1,57003112,C1
hallelujah,1,527297,N/A
savior,1,1822993,N/A
caught,1,17749748,N/A
whiter,1,278534,N/A
dreaming,1,3136420,N/A
mescaline,1,98963,N/A
unplug,1,492225,N/A
cracked,1,2888206,N/A
drif,1,27459450,N/A
mistaken,1,2411938,C1
forth,1,20149609,N/A
elevator,1,5679738,N/A
cubicle,1,1054833,N/A
custody,1,7459454,C2
insane,1,4121922,C1
garbage,1,6609450,N/A
lived,1,18050710,N/A
hacker,1,15029097,N/A
alias,1,9402911,N/A
contacted,1,6431982,N/A
irrelevant,1,3264954,N/A
considered,1,57378298,N/A
wasting,1,2791022,N/A
willing,1,18418634,C2
slate,1,4093634,N/A
scare,1,3729793,C1
gestapo,1,258231,N/A
tapped,1,1648690,N/A
underestimated,1,756706,N/A
highway,1,29368833,N/A
bugged,1,310616,N/A
guessed,1,1496547,N/A
tumbling,1,737156,N/A
ironically,1,1709792,C2
splinter,1,1921616,N/A
driving,1,40033859,N/A
pulled,1,10724879,N/A
bondage,1,38272228,N/A
wonderland,1,2192987,N/A
offering,1,43157600,N/A
carrier,1,33563407,N/A
pinpoint,1,1522733,C2
buckle,1,4098240,N/A
replication,1,5362899,N/A
fibrillation,1,603564,N/A
targeting,1,4917220,N/A
atrophied,1,49941,N/A
rebuilding,1,3120389,N/A
closer,1,15446664,N/A
hovercraft,1,355783,N/A
hack,1,9882075,N/A
loading,1,17433118,N/A
clothe,1,27345816,N/A
residual,1,5581971,N/A
projection,1,15818016,C1
interpreted,1,5535882,N/A
neural,1,5292673,N/A
magnificence,1,249695,N/A
spawned,1,910559,N/A
struck,1,8489716,N/A
scorched,1,380741,N/A
abundant,1,3441495,N/A
irony,1,2366726,C2
bioelectricity,1,0,N/A
volt,1,10659094,N/A
btus,1,120630,N/A
fusion,1,11029468,N/A
grown,1,13931521,N/A
longest,1,5727593,N/A
watched,1,10266154,N/A
liquefy,1,35673,N/A
fed,1,13348332,N/A
intravenously,1,240436,N/A
facing,1,13466055,N/A
horrifying,1,491916,C2
precision,1,13519376,N/A
obviousness,1,83794,N/A
generated,1,38437769,N/A
reached,1,22485293,N/A
letting,1,9131661,N/A
remake,1,1995028,N/A
freed,1,2683280,N/A
taught,1,16082512,N/A
prophesied,1,239243,N/A
hail,1,3384201,C2
searching,1,24320613,N/A
fashioned,1,3776151,N/A
homegrown,1,844286,N/A
combat,1,15171320,C2
sparring,1,441829,N/A
programmed,1,3352969,N/A
gravity,1,7309660,N/A
bent,1,5121803,N/A
adaptation,1,6690951,C1
improvisation,1,1135521,N/A
stronger,1,9076588,N/A
breathing,1,6778253,N/A
neuro,1,1337649,N/A
kinetic,1,5030730,N/A
disbelief,1,856280,N/A
believer,1,4754440,N/A
wondering,1,9239585,N/A
businessmen,1,1166763,N/A
carpenter,1,6088880,N/A
inert,1,949046,N/A
hopelessly,1,569641,C2
listening,1,19542217,N/A
sentient,1,503354,N/A
hardwired,1,322166,N/A
survived,1,4427602,N/A
hiding,1,4565153,N/A
gatekeeper,1,1012055,N/A
guarding,1,1005862,N/A
fought,1,5535215,N/A
emptied,1,677794,N/A
clip,1,64110929,N/A
sweeping,1,2487930,N/A
squiddy,1,0,N/A
electromagnetic,1,3112411,N/A
pulse,1,18893735,C1
disable,1,8342949,N/A
blast,1,10866206,N/A
radius,1,8985161,N/A
spanned,1,507808,N/A
bejesus,1,24040,N/A
encoded,1,3492618,N/A
translator,1,9540072,N/A
decode,1,1781582,N/A
brunette,1,9774700,N/A
redhead,1,5936463,N/A
degreasing,1,110728,N/A
ignorance,1,3782654,C2
bliss,1,3708978,N/A
buddy,1,28145735,N/A
runny,1,383747,N/A
snot,1,335248,N/A
technically,1,3818321,C1
oatmeal,1,1161768,N/A
celled,1,160497,N/A
protein,1,69658631,C1
synthetic,1,7476462,N/A
aminos,1,52901,N/A
mineral,1,19159828,N/A
wrote,1,56421594,N/A
milieu,1,636367,N/A
pimp,1,2664984,N/A
hypocrite,1,802034,N/A
impuls,1,850339,N/A
prophecy,1,3820239,N/A
resistance,1,20449996,C2
helped,1,21000656,N/A
bingo,1,9539002,N/A
cuter,1,152750,N/A
latin,1,36779697,N/A
thyself,1,656608,N/A
blindly,1,734867,N/A
sacrifice,1,7131915,C1
kiddo,1,136981,N/A
giving,1,43506778,N/A
cookie,1,11517481,C2
glitch,1,1745059,N/A
trapped,1,3683039,N/A
structural,1,16226259,C2
boom,1,8393246,N/A
nearest,1,14677826,N/A
goop,1,106562,N/A
bet,1,19562562,C1
lied,1,2215843,N/A
tricked,1,633300,N/A
shove,1,847364,N/A
messenger,1,22647801,N/A
bought,1,31501377,N/A
stood,1,11116275,N/A
stared,1,1658945,N/A
genius,1,7191629,C1
oblivious,1,662553,N/A
suffered,1,8148331,N/A
lacked,1,1828230,N/A
primitive,1,4616188,C1
cerebrum,1,91969,N/A
kept,1,27838368,N/A
redesigned,1,1436962,N/A
started,1,77515342,N/A
became,1,37332761,N/A
breaking,1,29841004,N/A
hacking,1,4013671,N/A
depend,1,29194205,N/A
alpha,1,27832836,N/A
insider,1,14843877,N/A
sever,1,824354,N/A
planned,1,21546767,N/A
deploy,1,4332780,N/A
sacrificed,1,1062744,N/A
loco,1,1343167,N/A
controlled,1,23265403,N/A
saving,1,53938519,C1
ranking,1,26057338,N/A
revelation,1,6948404,C2
tried,1,34201786,N/A
classify,1,2073937,C1
