word,series_frequency,english_frequency,vocabulary_level
are,63,2395433165,N/A
going,32,155862313,N/A
did,30,275450874,N/A
was,27,1483428678,N/A
got,23,145268693,N/A
has,18,1046319984,N/A
were,13,570712602,N/A
been,11,575087223,N/A
had,11,480345947,N/A
looking,10,150610176,N/A
doe,9,321965419,N/A
being,8,248842629,N/A
done,6,102841314,N/A
used,5,421438139,N/A
lot,4,150766298,N/A
said,4,315595259,N/A
alway,3,127836367,N/A
given,2,126028149,N/A
men,2,196195250,N/A
seem,2,92129504,N/A
self,2,113959886,C1
made,2,287369575,N/A
