word,series_frequency,english_frequency,vocabulary_level
specific,1,115025683,B2
unit,1,150226669,B1
apply,1,92945350,B1
social,1,139831307,B1
security,1,252411152,B1
law,1,261576660,B1
individual,1,140247382,B1
known,1,86436041,B2
whether,1,105014961,B1
few,1,135197144,B1
equipment,1,145824145,B1
united,1,299280163,B2
source,1,242521687,B2
major,1,127337348,B2
similar,1,119198655,B1
basic,1,97156959,B1
speed,1,90095302,B1
service,1,1081744026,B1
mile,1,122191270,B1
cell,1,157195647,B2
access,1,219843297,B1
though,1,91929439,B1
step,1,124401569,B1
track,1,136387546,B1
beauty,1,89162366,B1
continue,1,100662818,B1
environment,1,115290861,B2
natural,1,112420500,B1
resource,1,317232715,B2
working,1,148966565,B1
such,1,380740926,B2
item,1,627040260,B1
state,1,714041148,B2
position,1,114461372,B1
death,1,94459595,B1
charge,1,93253122,B1
