word,series_frequency,english_frequency,vocabulary_level
reaver,17,247297,N/A
beacon,6,4809100,N/A
grenade,4,1878458,N/A
vault,4,7241615,N/A
psychic,3,4990950,N/A
madness,3,5698238,N/A
buffer,3,18300897,N/A
payroll,3,8702213,N/A
albatross,3,618683,N/A
haven,3,11251484,N/A
terraforming,3,56407,N/A
pax,3,1739062,N/A
settler,2,3260890,N/A
breach,2,7187483,N/A
operative,2,4823410,N/A
behavioral,2,7585493,N/A
coupling,2,5221953,N/A
threatening,2,5146833,N/A
conjure,2,652264,N/A
thieving,2,149024,N/A
heist,2,453751,N/A
sheltered,2,1324275,N/A
newswave,2,0,N/A
subliminal,2,861267,N/A
broadwaved,2,0,N/A
nav,2,9388618,N/A
pos,2,12725503,N/A
knowed,2,56168,N/A
cortex,2,2530902,N/A
quadrant,2,1626001,N/A
broadwave,2,0,N/A
