word,series_frequency,english_frequency,vocabulary_level
got,44,145268693,N/A
are,40,2395433165,N/A
was,35,1483428678,N/A
going,25,155862313,N/A
coming,14,70099649,N/A
did,13,275450874,N/A
had,13,480345947,N/A
were,12,570712602,N/A
done,12,102841314,N/A
been,11,575087223,N/A
getting,10,93506861,N/A
has,9,1046319984,N/A
alway,9,127836367,N/A
taking,8,70312688,N/A
men,7,196195250,N/A
doe,6,321965419,N/A
doing,6,81188350,N/A
said,6,315595259,N/A
made,6,287369575,N/A
looking,5,150610176,N/A
seem,4,92129504,N/A
being,4,248842629,N/A
lot,4,150766298,N/A
making,3,124399532,N/A
seen,3,78381896,N/A
sent,3,68953120,N/A
came,3,73311488,N/A
log,2,119174402,C1
having,2,109360096,N/A
sat,2,70997818,N/A
taken,2,87019836,N/A
starting,2,68080206,N/A
added,2,118410414,N/A
