word,series_frequency,english_frequency,vocabulary_level
trap,5,11197166,B2
sword,4,11815118,B2
swing,3,14979876,B2
verse,3,7469512,B2
civilization,2,7602020,B2
anyhow,2,1521509,B2
unpredictable,2,1775357,B2
demonstration,1,12978662,B2
physically,1,6626169,B2
cooperation,1,19285933,B2
pride,1,14924461,B2
accidentally,1,2636203,B2
probable,1,4935641,B2
beneath,1,7362453,B2
landing,1,9989426,B2
mentally,1,3838946,B2
paw,1,3494841,B2
naughty,1,6845743,B2
theft,1,13252916,B2
independence,1,14412277,B2
swallow,1,4823397,B2
companion,1,11017964,B2
survivor,1,11001801,B2
torch,1,4451070,B2
precious,1,9529904,B2
bounce,1,5550954,B2
ease,1,13974702,B2
fierce,1,2562384,B2
trunk,1,12612833,B2
rocket,1,10350748,B2
tease,1,2019275,B2
liar,1,3027600,B2
thoughtful,1,2762623,B2
destruction,1,12506028,B2
idiot,1,6496256,B2
faint,1,2628473,B2
caring,1,7253663,B2
trace,1,15186073,B2
grave,1,6929008,B2
inner,1,17581749,B2
revenge,1,6655322,B2
weird,1,11590681,B2
rage,1,6645999,B2
remarkable,1,7066180,B2
