word,series_frequency,english_frequency,vocabulary_level
warden,14,2008441,N/A
rehabilitated,6,365610,N/A
infirmary,5,593188,N/A
tier,5,7981756,N/A
bog,5,1610139,N/A
cellblock,4,42124,N/A
irs,4,6436696,N/A
parole,4,3589788,N/A
buck,3,12834605,N/A
institutionalized,3,714449,N/A
scam,3,6974396,N/A
obtuse,3,268754,N/A
fingerprint,2,3246623,N/A
blooded,2,657681,N/A
rejection,2,4443871,C2
heap,2,3743065,C2
maggot,2,512197,N/A
skeet,2,365405,N/A
convicted,2,5133903,N/A
timer,2,9811546,N/A
reel,2,9058151,N/A
queer,2,3000495,N/A
pickax,2,0,N/A
tarring,2,40799,N/A
alabaster,2,544438,N/A
soapstone,2,193080,N/A
canary,2,3008119,N/A
pry,2,494712,N/A
drab,2,446724,N/A
kickback,2,448932,N/A
lickety,2,39393,N/A
conspiracy,2,6954540,N/A
geology,2,6099879,C1
