word,series_frequency,english_frequency,vocabulary_level
confrontation,1,2089318,C2
hated,1,3173792,N/A
neighbor,1,13643777,N/A
argued,1,6989831,N/A
discovered,1,16046554,N/A
confront,1,2606429,C2
parked,1,3530425,N/A
turnout,1,1925195,N/A
waited,1,3938627,N/A
arrived,1,15056872,N/A
sobering,1,357055,N/A
hazy,1,589765,N/A
riddled,1,373315,N/A
caliber,1,1861328,N/A
dragged,1,1846171,N/A
nary,1,334106,N/A
bloodstained,1,66771,N/A
corps,1,771075,N/A
decidedly,1,864360,N/A
gentlemen,1,3837865,N/A
accused,1,8659913,N/A
footprint,1,3209852,N/A
bearing,1,13934717,N/A
bourbon,1,1534274,N/A
likewise,1,5568135,C2
lying,1,8260845,N/A
sinned,1,485674,N/A
merit,1,9632214,C1
revolver,1,1578259,N/A
understood,1,11962620,N/A
condoned,1,161114,N/A
brutal,1,5675803,C1
stopped,1,14956865,N/A
reload,1,8800092,N/A
remorseless,1,48689,N/A
vested,1,1969347,N/A
hereby,1,7556876,N/A
rejected,1,9035260,N/A
reefer,1,388464,N/A
brandy,1,2300304,N/A
graduation,1,9644316,N/A
sear,1,5334987,N/A
roebuck,1,460565,N/A
smuggle,1,227753,C1
murdering,1,624555,N/A
fella,1,639391,N/A
banging,1,1531392,N/A
chubby,1,6995809,N/A
reeling,1,492289,N/A
jigger,1,106713,N/A
felon,1,760375,N/A
blasphemy,1,704679,N/A
vain,1,2406302,C2
unhook,1,54189,N/A
delouse,1,0,N/A
toughest,1,1179707,N/A
delousing,1,12942,N/A
blown,1,4229918,N/A
madness,1,5698238,N/A
dicked,1,150900,N/A
mama,1,5042818,N/A
piggy,1,1181697,N/A
nitwit,1,67037,N/A
acquaintance,1,1999691,C1
mushy,1,275321,N/A
blasphemed,1,41291,N/A
baton,1,4494851,N/A
malfunction,1,1389181,N/A
barrel,1,9227978,N/A
spunk,1,404915,N/A
lullaby,1,1253436,N/A
trustee,1,13559105,N/A
tub,1,11076412,N/A
fell,1,15337043,N/A
nest,1,6735749,C2
lined,1,5802278,N/A
chorus,1,7315884,N/A
busted,1,1704787,N/A
wondering,1,9239585,N/A
rumor,1,5977664,N/A
sweeter,1,538443,N/A
lethal,1,3040987,C2
miniature,1,9697540,C2
quartz,1,4953889,N/A
mica,1,1099816,N/A
shale,1,916019,N/A
limestone,1,2464875,N/A
hound,1,3230248,N/A
liking,1,1773447,N/A
homosexual,1,4635567,N/A
gem,1,10668895,N/A
shoelace,1,196378,N/A
snobby,1,95510,N/A
shield,1,12985151,C1
treating,1,6876896,N/A
hush,1,1714301,N/A
fought,1,5535215,N/A
fairy,1,8468245,N/A
resurfacing,1,749935,N/A
privilege,1,11725236,C1
volunteered,1,1452642,N/A
ran,1,16417708,N/A
figured,1,5390310,N/A
sweepstake,1,2621671,N/A
mop,1,2318756,N/A
pestering,1,86596,N/A
funnier,1,446842,N/A
sucking,1,10301698,N/A
teeth,1,9769437,N/A
spouse,1,9858936,C2
investigated,1,6077280,N/A
buckwheat,1,414588,N/A
apiece,1,488388,N/A
sud,1,1736605,N/A
jimmy,1,13074789,N/A
staring,1,2611893,N/A
tarred,1,119846,N/A
sitting,1,18868156,N/A
screw,1,12194010,N/A
walked,1,10905602,N/A
colossal,1,930268,N/A
magnanimous,1,103266,N/A
drank,1,1777243,N/A
hunkered,1,51555,N/A
civilized,1,1141850,N/A
carve,1,952422,C2
picking,1,6102267,N/A
pebble,1,2150673,N/A
stuffed,1,5120285,N/A
reflex,1,2789678,N/A
crowbar,1,278976,N/A
ignorant,1,2724458,C2
transferred,1,11023998,N/A
upstate,1,1431975,N/A
lived,1,18050710,N/A
straw,1,4390017,C1
geologist,1,1326198,N/A
hitch,1,3155347,N/A
saved,1,19635976,N/A
rapture,1,1093646,N/A
shipment,1,12274733,N/A
chewing,1,1507050,N/A
sipping,1,625038,N/A
cometh,1,577974,N/A
followeth,1,46854,N/A
contraband,1,455603,N/A
twist,1,8491807,C1
salvation,1,5684577,N/A
befitting,1,197920,N/A
reassigned,1,366421,N/A
dime,1,2693913,N/A
geographic,1,13269627,N/A
digest,1,15759781,C1
condensed,1,3843832,N/A
clipboard,1,3301081,N/A
peasy,1,36533,N/A
mister,1,2230767,N/A
blinked,1,389492,N/A
laughed,1,3904519,N/A
soiled,1,594973,N/A
jiggly,1,37912,N/A
hula,1,921011,N/A
gal,1,9137480,N/A
expanding,1,9147487,N/A
tenure,1,4801438,N/A
immutable,1,498595,N/A
pucker,1,215827,N/A
tighter,1,1237965,N/A
snare,1,1647027,N/A
stretched,1,3358892,N/A
rescheduled,1,611319,N/A
intramural,1,1096440,N/A
coincide,1,2293183,C2
opposing,1,3498650,N/A
remembered,1,7259499,N/A
holster,1,2575813,N/A
deductible,1,3816706,N/A
stack,1,13788803,N/A
sake,1,6673422,N/A
bleeding,1,5496166,N/A
shaving,1,3059305,N/A
farewell,1,3121563,N/A
shithouse,1,23145,N/A
arthritis,1,8597099,N/A
automobile,1,16038299,N/A
halfway,1,2532364,N/A
brewer,1,4677137,N/A
bagging,1,339054,N/A
grocery,1,11593584,N/A
sleeping,1,11840656,N/A
falling,1,12324340,N/A
addressed,1,16180738,N/A
allocated,1,16246437,N/A
enclosed,1,5368884,N/A
responded,1,7149431,N/A
sundry,1,1285266,N/A
pinch,1,2193152,N/A
unsaid,1,146625,N/A
soared,1,522016,N/A
farther,1,2666579,N/A
dare,1,7060157,N/A
flapped,1,74098,N/A
dissolve,1,1307386,C1
briefest,1,81775,N/A
stunt,1,3137690,N/A
maestro,1,1796104,N/A
easiest,1,4138022,N/A
tote,1,5106265,N/A
harmonica,1,1169994,N/A
younger,1,11985957,N/A
clued,1,125391,N/A
appropriation,1,9771571,N/A
voted,1,10746027,N/A
remaindered,1,48215,N/A
carving,1,3295747,N/A
crest,1,5969105,N/A
dum,1,768244,N/A
transformed,1,4918409,N/A
turpentine,1,164256,N/A
instituted,1,1570486,N/A
rehabilitation,1,13393179,N/A
inmate,1,4616316,N/A
supervised,1,3141620,N/A
skim,1,1048981,N/A
rolled,1,6241330,N/A
underbid,1,0,N/A
missus,1,204858,N/A
shady,1,2059463,N/A
earned,1,12540187,N/A
whatnot,1,408619,N/A
starch,1,1818215,N/A
dreamed,1,1698003,N/A
sooner,1,5301082,N/A
funnel,1,1304832,N/A
municipal,1,16272571,C1
honeypot,1,257252,N/A
millionaire,1,3635181,N/A
wearing,1,12401524,N/A
filtering,1,9862849,N/A
phantom,1,5705780,N/A
apparition,1,516191,N/A
conjured,1,190396,N/A
accomplish,1,6503704,C1
chasing,1,2647727,N/A
figment,1,235539,N/A
tradeoff,1,902463,N/A
entering,1,15167200,N/A
cop,1,9737327,N/A
punk,1,12867399,N/A
cocky,1,358614,N/A
molass,1,559840,N/A
backing,1,5447072,C2
furlough,1,187121,N/A
knowing,1,14410719,N/A
lit,1,7096253,N/A
equivalency,1,757146,N/A
assed,1,312711,N/A
thrill,1,3715217,C1
youngster,1,2081563,C1
matchstick,1,198588,N/A
hung,1,8543618,N/A
girly,1,880871,N/A
wasted,1,3559742,N/A
crawling,1,1306643,N/A
greased,1,455655,N/A
stole,1,3091656,N/A
cellmate,1,33130,N/A
twitchy,1,79425,N/A
roomie,1,156501,N/A
strung,1,828473,N/A
jumped,1,3761906,N/A
talked,1,9582713,N/A
busing,1,135948,N/A
hotshot,1,323013,N/A
pinned,1,1276850,N/A
woe,1,2763931,N/A
testimony,1,10880472,N/A
assuming,1,8525795,N/A
forgetting,1,1569161,N/A
timecard,1,104574,N/A
indulge,1,1651032,C2
indictable,1,126274,N/A
laundering,1,1695135,N/A
solitary,1,1632552,C2
mailed,1,7370075,N/A
knocked,1,2576160,N/A
shred,1,1206307,N/A
almighty,1,1780004,N/A
bunk,1,1859901,N/A
sodomite,1,86871,N/A
sealed,1,13733878,N/A
catching,1,4303583,N/A
drift,1,4302997,C2
complained,1,2691906,N/A
marble,1,7817808,N/A
rolling,1,15125241,N/A
worthless,1,1499925,C1
institutional,1,14424194,N/A
earthly,1,1275576,N/A
volcanic,1,2271377,N/A
loading,1,17433118,N/A
dock,1,7551830,C1
thump,1,565252,N/A
putting,1,18519708,N/A
questioned,1,3747297,N/A
vanished,1,1209355,N/A
windowsill,1,137840,N/A
cupcake,1,743712,N/A
fuzzy,1,5329554,N/A
britch,1,94180,N/A
escaped,1,2878893,N/A
worn,1,7252925,N/A
nub,1,268700,N/A
appealed,1,2123326,N/A
meticulous,1,610335,C2
toting,1,239884,N/A
handful,1,3534805,N/A
buffed,1,122100,N/A
foulness,1,27571,N/A
spilling,1,538379,N/A
losing,1,12607223,N/A
outgoing,1,4636746,C1
visited,1,14810983,N/A
blew,1,2473343,N/A
severance,1,1254666,N/A
bugle,1,645492,N/A
sobbed,1,174690,N/A
warrant,1,12413608,N/A
deprived,1,2155999,C1
postmark,1,462565,N/A
crossed,1,4962660,N/A
heading,1,14092627,C1
headed,1,10058504,N/A
meant,1,17832930,N/A
caged,1,511070,N/A
rejoice,1,1428482,N/A
rejoin,1,430253,N/A
wasting,1,2791022,N/A
restroom,1,1505089,N/A
harsh,1,4087715,C1
obliged,1,2519826,N/A
gotten,1,7480306,N/A
chessboard,1,134097,N/A
hoping,1,8825881,N/A
committing,1,2148886,N/A
toss,1,2973864,N/A
roadblock,1,645357,N/A
