word,series_frequency,english_frequency,vocabulary_level
was,74,1483428678,N/A
got,45,145268693,N/A
did,26,275450874,N/A
are,25,2395433165,N/A
had,24,480345947,N/A
been,22,575087223,N/A
made,17,287369575,N/A
going,17,155862313,N/A
said,14,315595259,N/A
went,11,68130142,N/A
has,10,1046319984,N/A
came,9,73311488,N/A
were,8,570712602,N/A
done,7,102841314,N/A
doe,6,321965419,N/A
took,6,66297175,N/A
used,6,421438139,N/A
wanted,5,63301836,N/A
alway,5,127836367,N/A
doing,5,81188350,N/A
fund,5,122850683,C1
taken,4,87019836,N/A
asked,4,75532722,N/A
lot,4,150766298,N/A
men,4,196195250,N/A
making,4,124399532,N/A
license,3,85326896,N/A
called,3,106978150,N/A
getting,3,93506861,N/A
started,3,77515342,N/A
being,3,248842629,N/A
seen,2,78381896,N/A
looking,2,150610176,N/A
seem,2,92129504,N/A
having,2,109360096,N/A
favorite,2,92246870,N/A
needed,2,76528079,N/A
pro,2,102580860,N/A
