word,series_frequency,english_frequency,filter_reason,vocabulary_level
sir,30,20704773,Oxford 3000,B1
prison,19,18807326,Oxford 3000,B1
wife,16,47510357,Oxford 3000,A1
hear,16,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
maybe,15,51946944,Oxford 3000,A2
truth,12,37860395,Oxford 3000,B2
morning,10,55268727,Oxford 3000,A1
guess,10,29330172,Oxford 3000,A2
fish,9,54923910,Oxford 3000,A1
count,9,55675339,Oxford 3000,B1
gun,8,35217715,Oxford 3000,B1
heard,8,45436523,"High English frequency (45,436,523 > 20,000,000)",N/A
knew,7,31636418,"High English frequency (31,636,418 > 20,000,000)",N/A
told,7,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
bullet,7,10486892,Oxford 3000,B2
innocent,7,8602110,Oxford 3000,B2
sorry,7,35595812,Oxford 3000,A1
guard,7,27127471,Oxford 3000,B1
pretty,7,51699969,Oxford 3000,A2
gone,7,34511028,"High English frequency (34,511,028 > 20,000,000)",N/A
himself,7,39757666,Oxford 3000,A2
killed,7,23240536,"High English frequency (23,240,536 > 20,000,000)",N/A
crime,6,50877596,Oxford 3000,B1
sentence,6,20083296,Oxford 3000,A1
lord,6,52474647,Oxford 3000,N/A
doubt,6,23256721,Oxford 3000,B1
somebody,6,11159741,Easy word (easy_words.csv),A2
hammer,6,8492874,Vocabulary level below C (B2),B2
sometime,6,52184367,Oxford 3000,N/A
behind,6,53892722,Oxford 3000,A1
busy,6,17390783,Easy word (easy_words.csv),A2
lover,5,19192091,Vocabulary level below C (B1),B1
lady,5,58395651,Oxford 3000,B1
dead,5,48412882,Oxford 3000,A2
cold,5,42009560,Oxford 3000,A1
shoot,5,15221977,Easy word (easy_words.csv),B1
cigarette,5,13548980,Oxford 3000,A2
butt,5,23911829,"High English frequency (23,911,829 > 20,000,000)",N/A
horse,5,58453720,Oxford 3000,A1
fat,5,51311873,Oxford 3000,A1
feet,5,57226055,"High English frequency (57,226,055 > 20,000,000)",N/A
trust,5,61432231,Oxford 3000,B1
blind,5,19812376,Oxford 3000,B1
till,5,16477131,Oxford 3000,A2
shut,5,12663576,Oxford 3000,A2
mine,5,34337711,Oxford 3000,A2
pull,5,22908540,Oxford 3000,A2
anybody,5,10367449,Oxford 3000,A2
lawyer,5,56212781,Oxford 3000,B1
funny,5,34894102,Oxford 3000,A1
sense,5,52629633,Oxford 3000,B1
beer,5,23120317,Oxford 3000,A1
talking,5,36617848,"High English frequency (36,617,848 > 20,000,000)",N/A
yard,5,29808940,Oxford 3000,B1
hole,5,37728350,Oxford 3000,B1
laundry,5,9453573,Vocabulary level below C (B2),B2
stretch,5,13188765,Oxford 3000,B2
chance,5,51442371,Oxford 3000,B1
yourself,5,53653034,Oxford 3000,A2
pacific,5,54275558,"High English frequency (54,275,558 > 20,000,000)",N/A
victim,4,27517312,Oxford 3000,B2
beautiful,4,58503804,Oxford 3000,A1
sit,4,24359793,Oxford 3000,A1
honest,4,11109203,Oxford 3000,B1
happen,4,47239250,Oxford 3000,A2
bet,4,19562562,Oxford 3000,C1
smoke,4,17367288,Oxford 3000,A1
smart,4,37455745,Oxford 3000,B1
rich,4,38868722,Oxford 3000,A2
eat,4,32034082,Oxford 3000,A1
neither,4,22640226,Oxford 3000,B2
jesus,4,34929061,"High English frequency (34,929,061 > 20,000,000)",N/A
roll,4,39810763,Oxford 3000,B1
instead,4,56499843,Oxford 3000,A2
banker,4,6620479,Vocabulary level below C (B2),B2
wonder,4,27355961,Oxford 3000,B1
wait,4,41363575,Oxford 3000,A1
sister,4,35155790,Oxford 3000,A1
surprise,4,14644385,Oxford 3000,A2
hundred,4,39367996,Oxford 3000,A2
fellow,4,20549095,Oxford 3000,B2
