word,series_frequency,english_frequency,vocabulary_level
kidnapper,5,481524,N/A
closer,4,15446664,N/A
cocaine,3,4337187,N/A
hooker,3,2275623,N/A
richest,3,1912591,N/A
kidnap,3,623411,N/A
communist,3,6502503,N/A
understood,3,11962620,N/A
informant,3,1320543,N/A
liked,2,11282738,N/A
hoo,2,1340710,N/A
launder,2,160535,N/A
emerald,2,6299701,N/A
forbe,2,5376123,N/A
kidnapped,2,1587915,N/A
robin,2,12594935,N/A
connie,2,2838668,N/A
blip,2,376216,N/A
janitorial,2,2059299,N/A
figured,2,5390310,N/A
margaritas,2,265008,N/A
mil,2,6789936,N/A
prostitute,2,1870244,C1
cartel,2,1139858,N/A
kidnapping,2,1422407,N/A
gentlemen,2,3837865,N/A
