word,series_frequency,english_frequency,vocabulary_level
ramped,1,141072,N/A
refueling,1,521240,N/A
transshipment,1,134363,N/A
nazi,1,4055501,N/A
sympathizer,1,224954,N/A
paradise,1,13186910,C1
untouched,1,997170,C1
superlab,1,0,N/A
paste,1,9170567,N/A
kilos,1,355739,N/A
flew,1,3529715,N/A
liquefy,1,35673,N/A
liquor,1,5246170,N/A
coca,1,3841473,N/A
alongside,1,4743589,C1
sniffing,1,728863,N/A
happening,1,13986796,N/A
coke,1,3602704,N/A
blended,1,2619659,N/A
fiberglass,1,2474100,N/A
hull,1,7166723,N/A
businessmen,1,1166763,N/A
legitimate,1,6943337,C2
bigger,1,13236401,N/A
pulling,1,5640701,N/A
inject,1,1351546,N/A
picassos,1,22390,N/A
buried,1,7228389,N/A
hid,1,2240111,N/A
hiding,1,4565153,N/A
couch,1,5054200,N/A
praying,1,2816625,N/A
bandit,1,2220450,N/A
blackbeard,1,105382,N/A
snatch,1,2494449,C2
capitalist,1,3224137,C2
commander,1,11832701,C2
mexican,1,16018332,N/A
psycho,1,2345581,N/A
maniac,1,1707068,N/A
comrade,1,1812060,N/A
guerrilla,1,1362022,N/A
guerilla,1,830523,N/A
warfare,1,5044170,N/A
broke,1,10460811,N/A
stole,1,3091656,N/A
mythic,1,598878,N/A
joker,1,1969584,N/A
battlefield,1,7530947,N/A
stunt,1,3137690,N/A
hola,1,647293,N/A
sanitary,1,3137434,N/A
identifying,1,11718306,N/A
puff,1,2398749,N/A
officially,1,7533785,C1
cranky,1,788077,N/A
meant,1,17832930,N/A
counseling,1,14592664,N/A
practicing,1,4367159,N/A
slum,1,1081148,N/A
aspiration,1,3177442,C2
exploiting,1,1448872,N/A
radar,1,15640237,N/A
vaccination,1,3559308,C2
gracias,1,578452,N/A
cleared,1,6097495,N/A
interviewed,1,4592738,N/A
disrespect,1,596091,C1
narco,1,207216,N/A
overboard,1,704860,C2
whiskey,1,2179769,N/A
richer,1,1838539,N/A
dime,1,2693913,N/A
weaver,1,4121513,N/A
fellas,1,394142,N/A
telex,1,916110,N/A
jarhead,1,703745,N/A
declassified,1,299778,N/A
headed,1,10058504,N/A
airfare,1,10459184,N/A
taxpayer,1,8416536,C2
filing,1,19572362,N/A
bothering,1,683314,N/A
turf,1,3139998,N/A
colonel,1,4413031,N/A
gathering,1,12907959,C1
wolfman,1,211543,N/A
trafficker,1,518441,N/A
witnessing,1,935019,N/A
formation,1,19214044,C2
famed,1,1319098,N/A
proclaimed,1,1860861,N/A
operational,1,17293992,N/A
gotten,1,7480306,N/A
cute,1,17912721,N/A
slipped,1,2410446,N/A
dummy,1,6623503,N/A
telling,1,14181895,N/A
choke,1,1790579,N/A
paranoid,1,1669173,N/A
bruised,1,649995,N/A
sedated,1,148017,N/A
sideline,1,1421206,N/A
sooner,1,5301082,N/A
needless,1,2037409,C2
unharmed,1,221725,N/A
tasted,1,1316517,N/A
escort,1,16975528,N/A
foul,1,6099385,C1
odor,1,4427754,N/A
smelled,1,666832,N/A
congratulation,1,6940167,N/A
hanging,1,10855366,N/A
invincibility,1,124583,N/A
feared,1,2373625,N/A
liberate,1,675516,N/A
invested,1,4774630,N/A
carnage,1,863190,N/A
shaken,1,1218549,C2
letting,1,9131661,N/A
