word,series_frequency,english_frequency,filter_reason,vocabulary_level
boss,19,16262055,Oxford 3000,A2
brother,17,56375413,Oxford 3000,A1
president,14,118735339,Oxford 3000,B1
sir,13,20704773,Oxford 3000,B1
everything,10,91495139,Oxford 3000,A2
ready,9,62997942,"High English frequency (62,997,942 > 20,000,000)",A1
attorney,9,57137817,"High English frequency (57,137,817 > 20,000,000)",N/A
police,8,64560602,Oxford 3000,A2
talking,8,36617848,"High English frequency (36,617,848 > 20,000,000)",N/A
already,7,108324565,Oxford 3000,A2
coming,7,70099649,"High English frequency (70,099,649 > 20,000,000)",N/A
clear,6,90182619,Oxford 3000,A2
guy,6,82889911,Oxford 3000,A2
excuse,6,6390272,Oxford 3000,B1
leave,6,70957750,Oxford 3000,A1
understand,5,65846056,Oxford 3000,A1
anything,5,75999346,Oxford 3000,A1
told,5,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
trust,5,61432231,Oxford 3000,B1
toilet,5,12274827,Oxford 3000,A1
okay,5,15466771,Easy word (easy_words.csv),N/A
happened,4,24951096,"High English frequency (24,951,096 > 20,000,000)",N/A
killed,4,23240536,"High English frequency (23,240,536 > 20,000,000)",N/A
front,4,102871721,Oxford 3000,B1
son,4,71254769,Oxford 3000,A1
rat,4,19275719,Vocabulary level below C (A2),A2
close,4,107853068,Oxford 3000,A1
whole,3,85317360,Oxford 3000,A2
hope,3,83608473,Oxford 3000,A2
fine,3,75242969,Oxford 3000,A1
jail,3,8247357,Vocabulary level below C (B1),B1
someone,3,76553113,Oxford 3000,A2
ambassador,3,7363292,Vocabulary level below C (B2),B2
everybody,3,14705200,Oxford 3000,A2
together,3,94482864,Oxford 3000,A1
far,3,93277601,Oxford 3000,A2
agent,3,106654961,Oxford 3000,B2
wife,3,47510357,Oxford 3000,A1
eat,3,32034082,Oxford 3000,A1
heard,3,45436523,"High English frequency (45,436,523 > 20,000,000)",N/A
yet,3,123160529,Oxford 3000,A2
nothing,3,73363579,Oxford 3000,A2
worked,3,38128226,"High English frequency (38,128,226 > 20,000,000)",N/A
forget,3,25685480,Oxford 3000,A2
speak,3,39174652,Oxford 3000,A1
ahead,3,28375319,Oxford 3000,B1
voice,3,75729708,Oxford 3000,B1
kill,3,31335290,Oxford 3000,A2
opening,2,41525814,Oxford 3000,B2
forgive,2,3379266,Oxford 3000,B1
reason,2,101752538,Oxford 3000,A2
regret,2,4855136,Oxford 3000,B1
ago,2,98839705,Oxford 3000,A2
least,2,111229798,Oxford 3000,B1
force,2,113500318,Oxford 3000,B2
came,2,73311488,"High English frequency (73,311,488 > 20,000,000)",N/A
interview,2,55272355,Oxford 3000,B1
willing,2,18418634,Oxford 3000,C2
prison,2,18807326,Oxford 3000,B1
political,2,82021775,Oxford 3000,B1
appropriate,2,69828347,Oxford 3000,B2
drug,2,118251576,"High English frequency (118,251,576 > 20,000,000)",B2
death,2,94459595,Oxford 3000,B1
chief,2,50021210,Oxford 3000,B2
knew,2,31636418,"High English frequency (31,636,418 > 20,000,000)",N/A
fight,2,34268222,Oxford 3000,B1
sent,2,68953120,"High English frequency (68,953,120 > 20,000,000)",N/A
thought,2,119724175,Oxford 3000,B1
accept,2,49819069,Oxford 3000,B1
anywhere,2,23947583,Oxford 3000,A2
committed,2,21662572,"High English frequency (21,662,572 > 20,000,000)",C2
crime,2,50877596,Oxford 3000,B1
happy,2,63486618,Oxford 3000,A1
