word,series_frequency,english_frequency,vocabulary_level
pablo,38,3042285,N/A
cockroach,18,669617,N/A
cocaine,16,4337187,N/A
kilos,15,355739,N/A
colombia,12,11011374,N/A
cop,9,9737327,N/A
colombian,9,1843761,N/A
escobar,9,314193,N/A
gustavo,9,744031,N/A
dea,8,1986635,N/A
colonel,6,4413031,N/A
pinochet,6,530982,N/A
coke,6,3602704,N/A
smuggling,5,1203317,N/A
pinilla,5,20139,N/A
paste,5,9170567,N/A
dispensaria,4,0,N/A
carrillo,4,263991,N/A
arrested,4,9147670,N/A
gaviria,4,32218,N/A
peru,4,12033152,N/A
pitcher,4,4428853,N/A
carlos,4,8062714,N/A
potatoe,4,5283312,N/A
narcos,3,0,N/A
lizard,3,3142759,N/A
gentlemen,3,3837865,N/A
loved,3,19719299,N/A
nixon,3,3933987,N/A
trafficker,3,518441,N/A
emerald,3,6299701,N/A
cuca,3,14055,N/A
blond,3,5365871,N/A
gringos,3,80168,N/A
tire,3,17199283,C2
narco,3,207216,N/A
plumbing,3,7903090,N/A
filthy,2,1697059,C1
guessed,2,1496547,N/A
javier,2,1492255,N/A
explosiveskull,2,0,N/A
chile,2,14776562,N/A
holocaust,2,5747744,N/A
mateo,2,2277443,N/A
moreno,2,1488410,N/A
stealing,2,3046130,N/A
packing,2,9183202,N/A
communist,2,6502503,N/A
smuggle,2,227753,C1
gacha,2,0,N/A
marijuana,2,5711213,N/A
das,2,9195872,N/A
felipo,2,0,N/A
luis,2,6405197,N/A
herrera,2,1169586,N/A
ibarra,2,219039,N/A
contraband,2,455603,N/A
emilio,2,779055,N/A
flip,2,8522186,N/A
flop,2,3644646,N/A
murph,2,184655,N/A
fake,2,11922383,C1
distill,2,237973,N/A
gasoline,2,6202517,N/A
peruvian,2,1746643,N/A
transporting,2,2048610,N/A
pablito,2,0,N/A
lehder,2,0,N/A
cared,2,2333049,N/A
stopped,2,14956865,N/A
ipsalia,2,0,N/A
renegotiate,2,155581,N/A
zapata,2,395065,N/A
amigo,2,1094662,N/A
bail,2,3888706,N/A
quica,2,0,N/A
businessmen,2,1166763,N/A
reagan,2,4795684,N/A
