word,series_frequency,english_frequency,vocabulary_level
nowaday,1,2547379,N/A
doomed,1,1690352,N/A
sat,1,70997818,N/A
landowner,1,2475158,N/A
richer,1,1838539,N/A
listening,1,19542217,N/A
megahertz,1,258316,N/A
gps,1,25572809,N/A
engage,1,11228751,C1
triangulate,1,42892,N/A
asset,1,48481339,C1
standing,1,34637239,N/A
raining,1,1392293,N/A
fuckwad,1,0,N/A
told,1,57248600,N/A
disengage,1,217747,N/A
meant,1,17832930,N/A
embedded,1,12156057,N/A
partying,1,771706,N/A
restricted,1,14056761,C1
wondering,1,9239585,N/A
bloc,1,2459699,N/A
zona,1,909468,N/A
rosa,1,5819587,N/A
hitmen,1,99872,N/A
sicarios,1,0,N/A
sent,1,68953120,N/A
held,1,76140043,N/A
bloodbath,1,195189,N/A
pushed,1,6482839,N/A
instance,1,34840970,C1
voted,1,10746027,N/A
hated,1,3173792,N/A
commy,1,132851,N/A
biggest,1,20195396,N/A
exporting,1,2584899,N/A
unpatrolled,1,0,N/A
coastline,1,1984847,C2
surrounded,1,6101488,N/A
spoiled,1,1402980,N/A
ammunition,1,2613857,N/A
missed,1,18451052,N/A
aka,1,11570453,N/A
won,1,29998103,N/A
finding,1,57859980,N/A
hijack,1,930818,N/A
needed,1,76528079,N/A
smuggler,1,855789,N/A
goldilock,1,151826,N/A
felt,1,33507506,N/A
nicknamed,1,459166,N/A
tequila,1,1086390,N/A
sombreros,1,31885,N/A
dominated,1,5055248,N/A
zeroed,1,145184,N/A
owned,1,35050234,N/A
privilege,1,11725236,C1
license,1,85326896,N/A
stereo,1,17319174,N/A
deserf,1,4081562,N/A
jewelry,1,72648785,N/A
knowing,1,14410719,N/A
republic,1,55871319,C1
producing,1,13472319,N/A
exquisite,1,3274003,C2
buck,1,12834605,N/A
digestive,1,2933689,N/A
aid,1,83178207,C1
paradise,1,13186910,C1
signed,1,38369963,N/A
chasing,1,2647727,N/A
wore,1,3490088,N/A
partnered,1,1221939,N/A
afoot,1,364417,N/A
owed,1,2256361,N/A
bout,1,3818689,N/A
sparrow,1,2321707,N/A
bowling,1,9997649,N/A
hottest,1,8505915,N/A
dicking,1,25137,N/A
swagger,1,212443,N/A
forcing,1,4136302,N/A
telling,1,14181895,N/A
favor,1,18267074,N/A
weep,1,1321499,C2
figured,1,5390310,N/A
boca,1,3255540,N/A
laid,1,13359320,N/A
crushing,1,1391123,N/A
feet,1,57226055,N/A
kerosene,1,996638,N/A
sulfuric,1,378524,N/A
ammonia,1,2026351,N/A
pasty,1,390156,N/A
baking,1,5711682,N/A
horsepower,1,2068922,N/A
easiest,1,4138022,N/A
bought,1,31501377,N/A
neighborhood,1,28783336,N/A
opened,1,23076347,N/A
ignorant,1,2724458,C2
french,1,81440411,N/A
stinkier,1,0,N/A
choke,1,1790579,N/A
sending,1,20622624,N/A
dumb,1,5409969,C1
resourceful,1,505988,C2
fag,1,977692,N/A
named,1,34099544,N/A
german,1,56375982,N/A
playboy,1,7725293,N/A
fleet,1,11200862,C1
saw,1,50570151,N/A
snorted,1,205453,N/A
filled,1,23448324,N/A
brim,1,640861,N/A
imported,1,8806670,N/A
bribe,1,1190670,C1
forth,1,20149609,N/A
math,1,31863783,N/A
briefcase,1,1719457,N/A
mule,1,3046331,N/A
legitimate,1,6943337,C2
changer,1,4117776,N/A
filling,1,9741237,N/A
weed,1,8672017,C2
amigos,1,918800,N/A
counting,1,8122357,N/A
establishing,1,10709113,N/A
dedicated,1,33916569,C1
milestone,1,5837710,N/A
narcotic,1,2650674,N/A
