word,series_frequency,english_frequency,vocabulary_level
got,31,145268693,N/A
are,29,2395433165,N/A
had,24,480345947,N/A
were,23,570712602,N/A
going,18,155862313,N/A
did,10,275450874,N/A
lot,8,150766298,N/A
said,7,315595259,N/A
been,6,575087223,N/A
made,5,287369575,N/A
making,5,124399532,N/A
children,4,214638176,N/A
has,4,1046319984,N/A
using,3,269448880,N/A
women,3,261450772,N/A
called,3,106978150,N/A
used,3,421438139,N/A
doe,2,321965419,N/A
being,2,248842629,N/A
center,2,329910094,N/A
