word,series_frequency,english_frequency,vocabulary_level
specific,1,115025683,B2
package,1,123962683,B2
general,1,313944434,B1
power,1,246570236,B1
such,1,380740926,B2
mile,1,122191270,B1
effect,1,157994239,B1
result,1,395605888,B1
sex,1,322005449,B1
standard,1,229356790,B2
version,1,257150986,B2
rule,1,155571063,B1
system,1,620530933,B1
few,1,135197144,B1
lead,1,98832739,B1
detail,1,326322175,B1
press,1,182076415,B1
natural,1,112420500,B1
tip,1,123611108,B1
major,1,127337348,B2
item,1,627040260,B1
within,1,261390908,B1
process,1,216279617,B2
sale,1,352468790,B2
safety,1,111147686,B2
service,1,1081744026,B1
policy,1,472193707,B2
county,1,246765084,B2
found,1,232130803,B2
risk,1,110691904,B2
upon,1,103921220,B2
agreement,1,129065137,B2
condition,1,244920039,B1
organization,1,129751066,B1
port,1,97223577,B1
account,1,245941633,B1
due,1,108366874,B1
district,1,114432328,B1
society,1,120479144,B1
direct,1,104756414,B1
source,1,242521687,B2
career,1,118593195,B1
