word,series_frequency,english_frequency,filter_reason,vocabulary_level
guy,24,82889911,Oxford 3000,A2
lion,10,18511993,Oxford 3000,A2
cop,9,9737327,Vocabulary level below C (A2),A2
brother,9,56375413,Oxford 3000,A1
lab,9,49108169,Oxford 3000,B1
dollar,8,75411886,Oxford 3000,A1
talking,7,36617848,"High English frequency (36,617,848 > 20,000,000)",A2
ready,7,62997942,"High English frequency (62,997,942 > 20,000,000)",A1
killed,7,23240536,"High English frequency (23,240,536 > 20,000,000)",A2
perfect,7,60242920,Oxford 3000,A2
half,7,87382264,Oxford 3000,A2
truck,7,45945319,Oxford 3000,B1
rich,6,38868722,Oxford 3000,A2
son,6,71254769,Oxford 3000,A1
route,6,41054858,Oxford 3000,B1
doing,6,81188350,"High English frequency (81,188,350 > 20,000,000)",A2
nice,6,69395609,Oxford 3000,A1
gram,6,9807477,Vocabulary level below C (A2),A2
kilo,6,702703,Vocabulary level below C (A2),A2
fit,6,55284806,Oxford 3000,A2
jacket,6,26865923,Oxford 3000,A1
guess,5,29330172,Oxford 3000,A2
bad,5,95146098,Oxford 3000,A1
sir,5,20704773,Oxford 3000,B1
knew,5,31636418,"High English frequency (31,636,418 > 20,000,000)",A2
move,5,70113140,Oxford 3000,A2
flight,5,71157824,Oxford 3000,A2
later,5,84945415,Oxford 3000,A2
lost,5,74772026,Oxford 3000,A2
listen,4,44504101,Oxford 3000,A1
gave,4,36576222,"High English frequency (36,576,222 > 20,000,000)",A2
stop,4,86868060,Oxford 3000,A1
everything,4,91495139,Oxford 3000,A2
hide,4,28857707,Oxford 3000,B1
instead,4,56499843,Oxford 3000,A2
leave,4,70957750,Oxford 3000,A1
brain,4,37025785,Oxford 3000,A2
pretty,4,51699969,Oxford 3000,A2
worried,4,6610456,Oxford 3000,A2
mom,4,39068727,"High English frequency (39,068,727 > 20,000,000)",A2
accept,4,49819069,Oxford 3000,B1
shot,4,61225531,Oxford 3000,B2
coffee,4,42858323,Oxford 3000,A1
percent,4,94322095,"High English frequency (94,322,095 > 20,000,000)",B1
plane,4,24246018,Oxford 3000,A1
potatoe,4,5283312,Vocabulary level below C (A2),A2
getting,4,93506861,"High English frequency (93,506,861 > 20,000,000)",A2
load,4,47072172,Oxford 3000,B2
fight,4,34268222,Oxford 3000,B1
anything,3,75999346,Oxford 3000,A1
trust,3,61432231,Oxford 3000,B1
fly,3,33412987,Oxford 3000,A1
police,3,64560602,Oxford 3000,A2
midnight,3,11673006,Oxford 3000,A2
loved,3,19719299,Vocabulary level below C (A2),A2
crazy,3,23174564,Oxford 3000,A2
waste,3,44621034,Oxford 3000,B1
dealer,3,51642165,"High English frequency (51,642,165 > 20,000,000)",B2
killing,3,13478027,Oxford 3000,B1
whole,3,85317360,Oxford 3000,A2
sorry,3,35595812,Oxford 3000,A1
wife,3,47510357,Oxford 3000,A1
feeling,3,37845806,Easy word (easy_words.csv),B1
ten,3,50614853,Oxford 3000,A1
stuff,3,82013389,Oxford 3000,B1
happened,3,24951096,"High English frequency (24,951,096 > 20,000,000)",A2
checking,3,23708784,"High English frequency (23,708,784 > 20,000,000)",B2
came,3,73311488,"High English frequency (73,311,488 > 20,000,000)",A2
leaf,3,37317352,Oxford 3000,B1
merchandise,3,20241873,"High English frequency (20,241,873 > 20,000,000)",B2
dry,3,32687658,Oxford 3000,A2
pure,3,22853378,Oxford 3000,B1
kitchen,3,63873372,Oxford 3000,A1
taking,3,70312688,"High English frequency (70,312,688 > 20,000,000)",A2
started,3,77515342,"High English frequency (77,515,342 > 20,000,000)",A2
wear,3,32084183,Oxford 3000,A1
piece,3,70299352,Oxford 3000,A2
grass,3,14321070,Oxford 3000,A1
soon,3,77038135,Oxford 3000,A2
pregnant,3,19969365,Oxford 3000,B1
satellite,2,45588215,Oxford 3000,B2
capture,2,21465152,Oxford 3000,B2
tonight,2,20720362,Oxford 3000,A1
signal,2,46408529,Oxford 3000,B2
target,2,66974497,Oxford 3000,B2
guessed,2,1496547,Vocabulary level below C (A2),A2
ground,2,73622412,Oxford 3000,B1
