word,series_frequency,english_frequency,vocabulary_level
cocaine,16,4337187,B2
kilos,15,355739,B2
coke,6,3602704,B2
smuggling,5,1203317,B2
paste,5,9170567,B2
arrested,4,9147670,B2
pitcher,4,4428853,B2
emerald,3,6299701,B2
blond,3,5365871,B2
gringos,3,80168,B2
swallow,3,4823397,B2
narco,3,207216,B2
plumbing,3,7903090,B2
productive,2,7036132,B2
packing,2,9183202,B2
marijuana,2,5711213,B2
contraband,2,455603,B2
distill,2,237973,B2
gasoline,2,6202517,B2
transporting,2,2048610,B2
cared,2,2333049,B2
renegotiate,2,155581,B2
bail,2,3888706,B2
businessmen,2,1166763,B2
