word,series_frequency,english_frequency,vocabulary_level
tommy,18,9523133,N/A
danny,14,7678894,N/A
shelby,13,3732559,N/A
blinder,9,228085,N/A
communist,8,6502503,N/A
peaky,8,15174,N/A
belfast,7,6176071,N/A
ira,6,5230695,N/A
comrade,5,1812060,N/A
fenian,5,68880,N/A
monaghan,4,892708,N/A
bsa,4,1518101,N/A
lying,4,8260845,N/A
birmingham,4,18611752,N/A
ada,4,6977809,N/A
charlie,4,12810984,N/A
churchill,3,4052562,N/A
bookmaker,3,1112575,N/A
pol,3,4539056,N/A
dump,3,8142635,C1
kempton,2,260219,N/A
memoryonsmell,2,0,N/A
uksubtitle,2,0,N/A
finn,2,2445485,N/A
garrison,2,2363259,N/A
fixing,2,5102718,N/A
kimber,2,350695,N/A
fought,2,5535215,N/A
telegraph,2,4611372,N/A
hors,2,16104943,N/A
whizz,2,170396,N/A
blew,2,2473343,N/A
betting,2,16959164,N/A
irishmen,2,84750,N/A
creator,2,13698058,N/A
proofing,2,1037507,N/A
meant,2,17832930,N/A
heath,2,6196399,N/A
galway,2,2578132,N/A
deepest,2,1939355,N/A
maggot,2,512197,N/A
rum,2,2393714,N/A
thrown,2,6153088,N/A
choking,2,971485,N/A
tobacco,2,13574147,C1
wharf,2,2385352,N/A
rosie,2,1868709,N/A
